,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,300,True,1,1-0,2019-08-02,06:31:25,2019-8,nikfahmi,0000000000yyyy,1138,1100,win,checkmated,1.0,0.0,0.554469374021676,0.44553062597832394,C41,https://www.chess.com/openings/C41-Philidor-Defense-3.Bc4,https://www.chess.com/live/game/3914187460,https://api.chess.com/pub/player/nikfahmi,https://api.chess.com/pub/player/0000000000yyyy
0,chess,blitz,600,True,1,1-0,2019-08-02,11:46:25,2019-8,kingkarangasem,0000000000yyyy,1143,1088,win,checkmated,1.0,0.0,0.5784967523447427,0.42150324765525726,A41,https://www.chess.com/openings/A41-Queens-Pawn-Opening-Tartakower-Variation,https://www.chess.com/live/game/3914697670,https://api.chess.com/pub/player/kingkarangasem,https://api.chess.com/pub/player/0000000000yyyy
0,chess,blitz,600,True,1,0-1,2019-08-02,11:51:55,2019-8,Gerono88,0000000000yyyy,1031,1099,timeout,win,0.0,1.0,0.403370826694226,0.596629173305774,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-Mason-Attack,https://www.chess.com/live/game/3914706104,https://api.chess.com/pub/player/gerono88,https://api.chess.com/pub/player/0000000000yyyy
0,chess,blitz,600,True,1,1-0,2019-08-03,08:49:17,2019-8,0000000000yyyy,TheUserWhoIsANoob,1112,1094,win,timeout,1.0,0.0,0.525880930891169,0.4741190691088309,B50,https://www.chess.com/openings/B50-Sicilian-Defense-2.Nf3-d6,https://www.chess.com/live/game/3917089260,https://api.chess.com/pub/player/0000000000yyyy,https://api.chess.com/pub/player/theuserwhoisanoob
0,chess,blitz,600,True,1,0-1,2019-08-03,09:19:49,2019-8,0000000000yyyy,BertinovRoussay,1098,1083,checkmated,win,0.0,1.0,0.5215733330511455,0.47842666694885455,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3-Qd8,https://www.chess.com/live/game/3917139315,https://api.chess.com/pub/player/0000000000yyyy,https://api.chess.com/pub/player/bertinovroussay
0,chess,blitz,600,True,1,0-1,2019-08-03,09:24:35,2019-8,0000000000yyyy,JMANSTUD,1087,1137,checkmated,win,0.0,1.0,0.4285368825916186,0.5714631174083814,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/3917146814,https://api.chess.com/pub/player/0000000000yyyy,https://api.chess.com/pub/player/jmanstud
0,chess,blitz,600,True,1,1-0,2019-08-03,09:41:13,2019-8,0000000000yyyy,cengobaba06,1097,1031,win,checkmated,1.0,0.0,0.5938553852361779,0.4061446147638222,C61,https://www.chess.com/openings/C61-Ruy-Lopez-Opening-Birds-Defense-4.Bc4,https://www.chess.com/live/game/3917175361,https://api.chess.com/pub/player/0000000000yyyy,https://api.chess.com/pub/player/cengobaba06
0,chess,blitz,600,True,1,0-1,2019-08-03,12:18:19,2019-8,meyramdidem,0000000000yyyy,1067,1107,resigned,win,0.0,1.0,0.44268836623770724,0.5573116337622928,C41,https://www.chess.com/openings/C41-Philidor-Defense-Exchange-Variation-4.Nxd4-Nf6,https://www.chess.com/live/game/3917458521,https://api.chess.com/pub/player/meyramdidem,https://api.chess.com/pub/player/0000000000yyyy
0,chess,blitz,600,True,1,1-0,2019-08-03,12:21:05,2019-8,0000000000yyyy,AlanApps,1118,1116,win,resigned,1.0,0.0,0.502878199574811,0.4971218004251891,B50,https://www.chess.com/openings/B50-Sicilian-Defense-2.Nf3-d6,https://www.chess.com/live/game/3917464319,https://api.chess.com/pub/player/0000000000yyyy,https://api.chess.com/pub/player/alanapps
0,chess,blitz,600,True,1,1-0,2019-08-03,12:23:42,2019-8,Ziauddin_Sheikh,0000000000yyyy,1171,1109,win,resigned,1.0,0.0,0.5882899718631628,0.41171002813683716,A00,https://www.chess.com/openings/A00-Hungarian-Opening-Indian-Defense,https://www.chess.com/live/game/3917469161,https://api.chess.com/pub/player/ziauddin_sheikh,https://api.chess.com/pub/player/0000000000yyyy
