,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,daily,1/86400,True,1,0-1,2018-05-31,06:55:48,2018-5,bokorez29,000evgen,958,1098,timeout,win,0.0,1.0,0.308763847585237,0.691236152414763,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-1...e5,https://www.chess.com/daily/game/196025188,https://api.chess.com/pub/player/bokorez29,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2018-06-01,22:39:47,2018-6,000evgen,Lungdj,825,811,win,resigned,1.0,0.0,0.5201367220358165,0.47986327796418354,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/2849860820,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/lungdj
0,chess,rapid,900+10,True,1,1-0,2018-06-01,22:51:35,2018-6,000evgen,kierankinsey,831,696,win,resigned,1.0,0.0,0.6850596089933503,0.3149403910066497,C01,https://www.chess.com/openings/C01-French-Defense-Mediterranean-Defense,https://www.chess.com/live/game/2849878182,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/kierankinsey
0,chess,rapid,900+10,True,1,1-0,2018-06-02,10:00:12,2018-6,timon71,000evgen,1044,827,win,resigned,1.0,0.0,0.777153105314726,0.22284689468527405,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/2850699187,https://api.chess.com/pub/player/timon71,https://api.chess.com/pub/player/000evgen
0,chess,daily,1/86400,True,1,0-1,2018-06-01,10:03:53,2018-6,sjnoondestroyer,000evgen,982,1104,checkmated,win,0.0,1.0,0.33130504369266833,0.6686949563073317,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Leonardis-Variation-2...d5,https://www.chess.com/daily/game/196116932,https://api.chess.com/pub/player/sjnoondestroyer,https://api.chess.com/pub/player/000evgen
0,chess,daily,1/86400,True,1,0-1,2018-05-31,10:19:01,2018-5,Olegstarikov,000evgen,1025,1111,resigned,win,0.0,1.0,0.3787032768775454,0.6212967231224545,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/daily/game/196035780,https://api.chess.com/pub/player/olegstarikov,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2018-06-03,19:13:42,2018-6,Taka85,000evgen,966,822,win,resigned,1.0,0.0,0.6961287704295998,0.3038712295704002,A00,https://www.chess.com/openings/A00-Hungarian-Opening-1...e5,https://www.chess.com/live/game/2853847309,https://api.chess.com/pub/player/taka85,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2018-06-03,21:36:42,2018-6,000evgen,fampapa,833,931,win,checkmated,1.0,0.0,0.36259162325551547,0.6374083767444845,B00,https://www.chess.com/openings/B00-Nimzowitsch-Defense-Kennedy-Variation,https://www.chess.com/live/game/2854120331,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/fampapa
0,chess,rapid,900+10,True,1,0-1,2018-06-04,10:29:07,2018-6,000evgen,aurel-r,828,955,resigned,win,0.0,1.0,0.3249597989597013,0.6750402010402987,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/2855077694,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/aurel-r
0,chess,daily,1/86400,True,1,1-0,2018-05-31,20:25:47,2018-5,000evgen,Drvac,1119,1056,win,timeout,1.0,0.0,0.5896835031399501,0.41031649686004995,C21,https://www.chess.com/openings/C21-Center-Game-Accepted-3.Qxd4,https://www.chess.com/daily/game/196080098,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/drvac
0,chess,rapid,900+10,True,1,1-0,2018-06-04,22:28:32,2018-6,spinalflow,000evgen,915,822,win,checkmated,1.0,0.0,0.6307302886162022,0.3692697113837977,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/2856391138,https://api.chess.com/pub/player/spinalflow,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2018-06-05,10:39:41,2018-6,suresh75177,000evgen,727,828,checkmated,win,0.0,1.0,0.35860988804438204,0.641390111955618,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack,https://www.chess.com/live/game/2857314692,https://api.chess.com/pub/player/suresh75177,https://api.chess.com/pub/player/000evgen
0,chess,daily,1/86400,True,1,1-0,2018-06-04,08:59:38,2018-6,000evgen,Olegstarikov,1125,1015,win,resigned,1.0,0.0,0.6532171672188698,0.34678283278113026,B07,https://www.chess.com/openings/B07-Pirc-Defense-Maroczy-Defense,https://www.chess.com/daily/game/196388706,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/olegstarikov
0,chess,rapid,900+10,True,1,0-1,2018-06-08,13:27:33,2018-6,antogeorge,000evgen,899,838,checkmated,win,0.0,1.0,0.5868950233791,0.41310497662089996,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-MacLeod-Attack-2...d5,https://www.chess.com/live/game/2864086211,https://api.chess.com/pub/player/antogeorge,https://api.chess.com/pub/player/000evgen
0,chess,daily,1/86400,True,1,1-0,2018-06-03,14:21:13,2018-6,000evgen,StaySharp83,1132,1031,win,timeout,1.0,0.0,0.641390111955618,0.35860988804438204,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/daily/game/196330276,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/staysharp83
0,chess,daily,1/86400,True,1,1-0,2018-06-06,08:31:24,2018-6,Olegstarikov,000evgen,1032,1121,win,resigned,1.0,0.0,0.3746486066924632,0.6253513933075368,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Paulsen-Attack,https://www.chess.com/daily/game/196553298,https://api.chess.com/pub/player/olegstarikov,https://api.chess.com/pub/player/000evgen
0,chess,daily,1/86400,True,1,0-1,2018-06-09,11:10:58,2018-6,000evgen,Olegstarikov,1111,1047,checkmated,win,0.0,1.0,0.5910755963149433,0.4089244036850566,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/daily/game/196795444,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/olegstarikov
0,chess,daily,1/86400,True,1,1-0,2018-06-10,07:48:46,2018-6,Olegstarikov,000evgen,1061,1101,win,checkmated,1.0,0.0,0.44268836623770724,0.5573116337622928,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/daily/game/196856964,https://api.chess.com/pub/player/olegstarikov,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2018-06-15,06:28:05,2018-6,000evgen,ajaybanshi1211,847,877,win,checkmated,1.0,0.0,0.4569335079777882,0.5430664920222119,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense-2.d4-Bb7,https://www.chess.com/live/game/2878817126,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/ajaybanshi1211
0,chess,rapid,900+10,True,1,1-0,2018-06-15,14:30:31,2018-6,000evgen,BrunodeCarvalho,854,793,win,resigned,1.0,0.0,0.5868950233791,0.41310497662089996,B02,https://www.chess.com/openings/B02-Alekhine-Defense-Mokele-Mbembe-Variation,https://www.chess.com/live/game/2879464953,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/brunodecarvalho
0,chess,rapid,900+10,True,1,1-0,2018-06-15,20:18:13,2018-6,000evgen,benjaminw0014,862,855,win,checkmated,1.0,0.0,0.5100724469274385,0.48992755307256153,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/2880042207,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/benjaminw0014
