,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,rapid,900+10,True,1,1-0,2019-08-02,19:36:05,2019-8,000evgen,Yttrix,1190,1228,win,resigned,1.0,0.0,0.44553062597832394,0.554469374021676,B01,https://www.chess.com/openings/B01-Scandinavian-Defense,https://www.chess.com/live/game/3915777667,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/yttrix
0,chess,rapid,900+10,True,1,0-1,2019-08-02,19:46:10,2019-8,000evgen,Jaaspli,1183,1240,abandoned,win,0.0,1.0,0.41869852163108506,0.581301478368915,B21,https://www.chess.com/openings/B21-Sicilian-Defense-Smith-Morra-Gambit,https://www.chess.com/live/game/3915800319,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/jaaspli
0,chess,rapid,900+10,True,1,0-1,2019-08-03,19:34:06,2019-8,mahmod_mjo,000evgen,1111,1190,abandoned,win,0.0,1.0,0.3882294992189357,0.6117705007810643,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/3918459418,https://api.chess.com/pub/player/mahmod_mjo,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1/2-1/2,2019-08-03,20:07:56,2019-8,RichardBinkard,000evgen,1230,1191,insufficient,insufficient,0.5,0.5,0.5558909611168531,0.4441090388831469,C25,https://www.chess.com/openings/C25-Vienna-Game-Zhuravlev-Countergambit,https://www.chess.com/live/game/3918536061,https://api.chess.com/pub/player/richardbinkard,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2019-08-04,17:23:01,2019-8,000evgen,justinofswfl,1197,1085,win,resigned,1.0,0.0,0.655820505912395,0.344179494087605,B00,https://www.chess.com/openings/B00-Nimzowitsch-Defense-Kennedy-Variation,https://www.chess.com/live/game/3920804306,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/justinofswfl
0,chess,rapid,900+10,True,1,1-0,2019-08-05,20:07:30,2019-8,Elthon_Rubens,000evgen,1223,1189,win,resigned,1.0,0.0,0.5487743358597419,0.4512256641402582,C41,https://www.chess.com/openings/C41-Philidor-Defense-3.Bc4,https://www.chess.com/live/game/3923881942,https://api.chess.com/pub/player/elthon_rubens,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-06,18:03:06,2019-8,000evgen,hans-joahim,1181,1215,resigned,win,0.0,1.0,0.4512256641402582,0.5487743358597419,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/3926350873,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/hans-joahim
0,chess,rapid,900+10,True,1,1-0,2019-08-07,14:39:52,2019-8,Marmaduque,000evgen,1302,1176,win,resigned,1.0,0.0,0.6737761878883222,0.32622381211167784,C24,https://www.chess.com/openings/C24-Bishops-Opening-Berlin-Defense-3.d3,https://www.chess.com/live/game/3928615901,https://api.chess.com/pub/player/marmaduque,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-08,06:35:47,2019-8,kahmaran,000evgen,1030,1181,checkmated,win,0.0,1.0,0.29541540733727906,0.704584592662721,C41,https://www.chess.com/openings/C41-Philidor-Defense-3.Bc4,https://www.chess.com/live/game/3930488055,https://api.chess.com/pub/player/kahmaran,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2019-08-08,13:31:30,2019-8,PWijk,000evgen,1073,1170,win,resigned,1.0,0.0,0.36392310031211805,0.6360768996878818,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-MacLeod-Attack-2...d5,https://www.chess.com/live/game/3931213022,https://api.chess.com/pub/player/pwijk,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-09,06:53:44,2019-8,000evgen,anuragph,1162,1190,resigned,win,0.0,1.0,0.45979177167625435,0.5402082283237456,A45,https://www.chess.com/openings/A45-Trompowsky-Attack-Classical-Big-Center-Variation,https://www.chess.com/live/game/3933243051,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/anuragph
0,chess,rapid,900+10,True,1,1-0,2019-08-09,16:57:20,2019-8,000evgen,Fefar5885,1170,1139,win,resigned,1.0,0.0,0.544494573083008,0.4555054269169921,C21,https://www.chess.com/openings/C21-Center-Game,https://www.chess.com/live/game/3934437074,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/fefar5885
0,chess,rapid,900+10,True,1,1-0,2019-08-09,17:08:28,2019-8,Fefar5885,000evgen,1148,1161,win,resigned,1.0,0.0,0.48130022207044143,0.5186997779295586,C41,https://www.chess.com/openings/C41-Philidor-Defense-3.d4-Bg4-4.dxe5,https://www.chess.com/live/game/3934464359,https://api.chess.com/pub/player/fefar5885,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2019-08-09,18:34:11,2019-8,Biron1945,000evgen,1112,1152,win,checkmated,1.0,0.0,0.44268836623770724,0.5573116337622928,C41,https://www.chess.com/openings/C41-Philidor-Defense-3.d4-Bg4,https://www.chess.com/live/game/3934670498,https://api.chess.com/pub/player/biron1945,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-11,19:38:42,2019-8,000evgen,kolevg,1147,1306,resigned,win,0.0,1.0,0.2859210974146497,0.7140789025853503,C21,https://www.chess.com/openings/C21-Center-Game,https://www.chess.com/live/game/3940169931,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/kolevg
0,chess,rapid,900+10,True,1,0-1,2019-08-12,06:55:40,2019-8,000evgen,22008123,1141,1301,resigned,win,0.0,1.0,0.2847472489508014,0.7152527510491987,C02,https://www.chess.com/openings/C02-French-Defense-Advance-Nimzowitsch-System,https://www.chess.com/live/game/3941311366,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/22008123
0,chess,rapid,900+10,True,1,1-0,2019-08-12,13:57:20,2019-8,000evgen,Malekburqan,1150,1171,win,resigned,1.0,0.0,0.469815319996098,0.5301846800039021,C21,https://www.chess.com/openings/C21-Center-Game-Accepted-3.Qxd4,https://www.chess.com/live/game/3942072195,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/malekburqan
0,chess,rapid,900+10,True,1,1-0,2019-08-12,20:23:16,2019-8,000evgen,8Dutra,1156,1034,win,checkmated,1.0,0.0,0.6686949563073317,0.33130504369266833,B00,https://www.chess.com/openings/B00-Nimzowitsch-Defense-2.d4-e6,https://www.chess.com/live/game/3943014299,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/8dutra
0,chess,rapid,900+10,True,1,1-0,2019-08-13,18:12:33,2019-8,AndresQuin10,000evgen,1056,1146,win,resigned,1.0,0.0,0.373300918333268,0.626699081666732,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/3945475272,https://api.chess.com/pub/player/andresquin10,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,1-0,2019-08-15,16:25:38,2019-8,xpkrava,000evgen,1091,1137,win,resigned,1.0,0.0,0.43418479693076684,0.5658152030692333,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/3950712531,https://api.chess.com/pub/player/xpkrava,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-15,17:02:02,2019-8,Sergio1414,000evgen,1070,1144,abandoned,win,0.0,1.0,0.3950870979920432,0.6049129020079569,C41,https://www.chess.com/openings/C41-Philidor-Defense-3.d4-Bg4,https://www.chess.com/live/game/3950800285,https://api.chess.com/pub/player/sergio1414,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-15,18:13:47,2019-8,000evgen,brunossss,1136,1134,resigned,win,0.0,1.0,0.502878199574811,0.4971218004251891,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/3950974066,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/brunossss
0,chess,rapid,900+10,True,1,0-1,2019-08-15,18:23:30,2019-8,000evgen,prfourdinier,1126,1053,resigned,win,0.0,1.0,0.6035363185261781,0.39646368147382194,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/3950995909,https://api.chess.com/pub/player/000evgen,https://api.chess.com/pub/player/prfourdinier
0,chess,rapid,900+10,True,1,1-0,2019-08-16,19:43:30,2019-8,Mario1772,000evgen,1152,1118,win,resigned,1.0,0.0,0.5487743358597419,0.4512256641402582,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-Mason-Attack,https://www.chess.com/live/game/3953887354,https://api.chess.com/pub/player/mario1772,https://api.chess.com/pub/player/000evgen
0,chess,rapid,900+10,True,1,0-1,2019-08-16,19:58:47,2019-8,Virtuose777,000evgen,1038,1125,resigned,win,0.0,1.0,0.3773498042127379,0.6226501957872621,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/3953922991,https://api.chess.com/pub/player/virtuose777,https://api.chess.com/pub/player/000evgen
