,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,180,True,1,1-0,2018-02-01,18:03:07,2018-2,Daor02,001r78,1166,1160,win,resigned,1.0,0.0,0.5086338358210827,0.4913661641789174,C42,https://www.chess.com/openings/C42-Petrovs-Defense-Three-Knights-Game,https://www.chess.com/live/game/2589039983,https://api.chess.com/pub/player/daor02,https://api.chess.com/pub/player/001r78
0,chess,blitz,180,True,1,0-1,2018-02-01,18:18:36,2018-2,flyingbudbun,001r78,1100,1167,checkmated,win,0.0,1.0,0.4047569603484281,0.5952430396515719,A00,https://www.chess.com/openings/A00-Hungarian-Opening-1...e5-2.Bg2,https://www.chess.com/live/game/2589069397,https://api.chess.com/pub/player/flyingbudbun,https://api.chess.com/pub/player/001r78
0,chess,blitz,180,True,1,0-1,2018-02-01,18:25:41,2018-2,001r78,Goodvalley,1159,1171,timeout,win,0.0,1.0,0.4827374755676238,0.5172625244323762,B27,https://www.chess.com/openings/B27-Sicilian-Defense-2.Nf3,https://www.chess.com/live/game/2589082450,https://api.chess.com/pub/player/001r78,https://api.chess.com/pub/player/goodvalley
0,chess,blitz,180,True,1,1-0,2018-02-01,20:01:35,2018-2,niu_b,001r78,1127,1149,win,timeout,1.0,0.0,0.46838170217189273,0.5316182978281073,A00,https://www.chess.com/openings/A00-Vant-Kruijs-Opening-1...e5,https://www.chess.com/live/game/2589266167,https://api.chess.com/pub/player/niu_b,https://api.chess.com/pub/player/001r78
0,chess,blitz,180,True,1,1-0,2018-02-01,20:37:46,2018-2,001r78,TYJFMD,1158,1187,win,resigned,1.0,0.0,0.45836229728523653,0.5416377027147634,B07,https://www.chess.com/openings/B07-Pirc-Defense-Modern-Defense-Geller-System,https://www.chess.com/live/game/2589333740,https://api.chess.com/pub/player/001r78,https://api.chess.com/pub/player/tyjfmd
0,chess,blitz,180,True,1,1-0,2018-02-01,20:43:43,2018-2,greg5525,001r78,1206,1151,win,checkmated,1.0,0.0,0.5784967523447427,0.42150324765525726,C42,https://www.chess.com/openings/C42-Petrovs-Defense-Three-Knights-Game,https://www.chess.com/live/game/2589344697,https://api.chess.com/pub/player/greg5525,https://api.chess.com/pub/player/001r78
0,chess,blitz,180,True,1,0-1,2018-02-01,20:49:58,2018-2,001r78,SubvertoART,1143,1151,checkmated,win,0.0,1.0,0.4884891087822083,0.5115108912177917,B40,https://www.chess.com/openings/B40-Sicilian-Defense-French-Variation,https://www.chess.com/live/game/2589356434,https://api.chess.com/pub/player/001r78,https://api.chess.com/pub/player/subvertoart
0,chess,blitz,180,True,1,1-0,2018-02-02,05:51:21,2018-2,plswan,001r78,1076,1133,win,timeout,1.0,0.0,0.41869852163108506,0.581301478368915,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/2590076969,https://api.chess.com/pub/player/plswan,https://api.chess.com/pub/player/001r78
0,chess,blitz,180,True,1,1-0,2018-02-02,06:22:42,2018-2,SasquatchWillie,001r78,1123,1125,win,timeout,1.0,0.0,0.4971218004251891,0.502878199574811,E00,https://www.chess.com/openings/E00-Indian-Game-East-Indian-Defense,https://www.chess.com/live/game/2590109632,https://api.chess.com/pub/player/sasquatchwillie,https://api.chess.com/pub/player/001r78
0,chess,blitz,180,True,1,0-1,2018-02-02,11:01:09,2018-2,001r78,Bomboclat86,1117,1132,timeout,win,0.0,1.0,0.47842666694885455,0.5215733330511455,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/2590419583,https://api.chess.com/pub/player/001r78,https://api.chess.com/pub/player/bomboclat86
