,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,600,True,1,1-0,2019-02-01,10:17:07,2019-2,TERIDLON,003arthur300,955,946,win,checkmated,1.0,0.0,0.5129491448928637,0.48705085510713625,A02,https://www.chess.com/openings/A02-Birds-Opening,https://www.chess.com/live/game/3423340491,https://api.chess.com/pub/player/teridlon,https://api.chess.com/pub/player/003arthur300
0,chess,daily,1/1209600,True,1,0-1,2019-01-24,21:25:54,2019-1,joseangel1123,003arthur300,959,911,checkmated,win,0.0,1.0,0.5686413918836677,0.43135860811633236,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/daily/game/216739058,https://api.chess.com/pub/player/joseangel1123,https://api.chess.com/pub/player/003arthur300
0,chess,blitz,600,True,1,0-1,2019-02-01,12:36:46,2019-2,003arthur300,Sommanus21,938,951,checkmated,win,0.0,1.0,0.48130022207044143,0.5186997779295586,C22,https://www.chess.com/openings/C22-Center-Game-Accepted-Normal-Variation,https://www.chess.com/live/game/3423579346,https://api.chess.com/pub/player/003arthur300,https://api.chess.com/pub/player/sommanus21
0,chess,blitz,600,True,1,1-0,2019-02-01,13:15:40,2019-2,oguzartkiy,003arthur300,948,930,win,resigned,1.0,0.0,0.525880930891169,0.4741190691088309,B01,https://www.chess.com/openings/B01-Scandinavian-Defense,https://www.chess.com/live/game/3423653473,https://api.chess.com/pub/player/oguzartkiy,https://api.chess.com/pub/player/003arthur300
0,chess,blitz,600,True,1,0-1,2019-02-01,13:25:55,2019-2,003arthur300,oguzartkiy,922,956,resigned,win,0.0,1.0,0.4512256641402582,0.5487743358597419,A00,https://www.chess.com/openings/A00-Barnes-Opening-1...d5-2.e4,https://www.chess.com/live/game/3423673921,https://api.chess.com/pub/player/003arthur300,https://api.chess.com/pub/player/oguzartkiy
0,chess,blitz,600,True,1,1-0,2019-02-01,15:05:46,2019-2,onerium,003arthur300,949,914,win,resigned,1.0,0.0,0.550199353253537,0.449800646746463,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Closed,https://www.chess.com/live/game/3423886461,https://api.chess.com/pub/player/onerium,https://api.chess.com/pub/player/003arthur300
0,chess,blitz,600,True,1,0-1,2019-02-01,23:37:11,2019-2,003arthur300,nisduurlann,906,934,checkmated,win,0.0,1.0,0.45979177167625435,0.5402082283237456,B21,https://www.chess.com/openings/B21-Sicilian-Defense-Smith-Morra-Gambit,https://www.chess.com/live/game/3425071807,https://api.chess.com/pub/player/003arthur300,https://api.chess.com/pub/player/nisduurlann
0,chess,blitz,600,True,1,1-0,2019-02-02,09:52:07,2019-2,check26,003arthur300,955,899,win,checkmated,1.0,0.0,0.5798997603578815,0.42010023964211857,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/3425964904,https://api.chess.com/pub/player/check26,https://api.chess.com/pub/player/003arthur300
0,chess,blitz,600,True,1,1-0,2019-02-02,12:23:34,2019-2,003arthur300,PaulFreddie,907,911,win,checkmated,1.0,0.0,0.49424379158885506,0.5057562084111449,A00,https://www.chess.com/openings/A00-Barnes-Opening-1...d5-2.e4,https://www.chess.com/live/game/3426228057,https://api.chess.com/pub/player/003arthur300,https://api.chess.com/pub/player/paulfreddie
0,chess,blitz,600,True,1,0-1,2019-02-02,12:45:22,2019-2,gnikiv06,003arthur300,922,916,resigned,win,0.0,1.0,0.5086338358210827,0.4913661641789174,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3,https://www.chess.com/live/game/3426269131,https://api.chess.com/pub/player/gnikiv06,https://api.chess.com/pub/player/003arthur300
