,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,180+2,True,1,1-0,2019-01-16,17:38:37,2019-1,01Roman,varun1053012,2075,2082,win,checkmated,1.0,0.0,0.48992755307256153,0.5100724469274385,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3381579440,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/varun1053012
0,chess,daily,1/1209600,True,1,0-1,2018-01-26,18:26:18,2018-1,ERAUQSSIDLROWEHT,01Roman,1649,1833,resigned,win,0.0,1.0,0.25746444105693017,0.7425355589430698,B46,https://www.chess.com/openings/B46-Sicilian-Defense-Taimanov-Variation-5.Nc3-a6,https://www.chess.com/daily/game/185579020,https://api.chess.com/pub/player/erauqssidlroweht,https://api.chess.com/pub/player/01roman
0,chess,blitz,180+2,True,1,0-1,2019-01-25,17:43:57,2019-1,gartola,01Roman,2054,2094,checkmated,win,0.0,1.0,0.44268836623770724,0.5573116337622928,C65,https://www.chess.com/openings/C65-Ruy-Lopez-Opening-Berlin-Defense-4.d3-Bc5,https://www.chess.com/live/game/3405539181,https://api.chess.com/pub/player/gartola,https://api.chess.com/pub/player/01roman
0,chess,blitz,180+2,True,1,1-0,2019-01-25,17:49:58,2019-1,greeneyedoctor,01Roman,2073,2074,win,timeout,1.0,0.0,0.4985608882908471,0.5014391117091528,A65,https://www.chess.com/openings/A65-Benoni-Defense-Modern-Kings-Pawn-Line-6...g6-7.h3,https://www.chess.com/live/game/3405553757,https://api.chess.com/pub/player/greeneyedoctor,https://api.chess.com/pub/player/01roman
0,chess,bullet,120+1,True,1,0-1,2019-01-25,18:12:39,2019-1,01Roman,tomichok,1788,1941,abandoned,win,0.0,1.0,0.293024705191459,0.7069752948085409,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3405609852,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/tomichok
0,chess,blitz,300+3,True,1,0-1,2019-01-25,18:20:34,2019-1,micaet,01Roman,1800,2080,checkmated,win,0.0,1.0,0.1663375308165619,0.8336624691834381,B41,https://www.chess.com/openings/B41-Sicilian-Defense-Kan-Maroczy-Bind-Formation-5...Nf6-6.Nc3-Qc7,https://www.chess.com/live/game/3405629391,https://api.chess.com/pub/player/micaet,https://api.chess.com/pub/player/01roman
0,chess,blitz,300+3,True,1,1-0,2019-01-25,18:31:36,2019-1,01Roman,micaet,2086,1793,win,resigned,1.0,0.0,0.8437822479242926,0.1562177520757074,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3405657151,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/micaet
0,chess,bullet,120+1,True,1,1-0,2019-01-25,18:56:02,2019-1,01Roman,bacling,1801,1451,win,timeout,1.0,0.0,0.8823382970469413,0.11766170295305857,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3405718129,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/bacling
0,chess,bullet,120+1,True,1,0-1,2019-01-25,19:00:19,2019-1,bacling,01Roman,1449,1812,resigned,win,0.0,1.0,0.11011215781886716,0.8898878421811328,B22,https://www.chess.com/openings/B22-Sicilian-Defense-Alapin-Variation-2...e6-3.Nf3,https://www.chess.com/live/game/3405728520,https://api.chess.com/pub/player/bacling,https://api.chess.com/pub/player/01roman
0,chess,blitz,180,True,1,0-1,2019-01-27,16:04:33,2019-1,01Roman,64traps,2053,1539,checkmated,win,0.0,1.0,0.9506787811338805,0.04932121886611947,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3410612145,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/64traps
0,chess,blitz,180,True,1,0-1,2019-01-27,16:10:53,2019-1,01Roman,Carlyde,2040,2133,resigned,win,0.0,1.0,0.3692697113837977,0.6307302886162022,A04,https://www.chess.com/openings/A04-Reti-Opening-Kingside-Fianchetto-Variation,https://www.chess.com/live/game/3410627811,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/carlyde
0,chess,blitz,180,True,1,0-1,2019-01-27,16:16:48,2019-1,Alekseykor,01Roman,1457,2041,checkmated,win,0.0,1.0,0.03351171054837125,0.9664882894516288,A44,https://www.chess.com/openings/A44-Old-Benoni-Defense-2.d5-e5,https://www.chess.com/live/game/3410642210,https://api.chess.com/pub/player/alekseykor,https://api.chess.com/pub/player/01roman
0,chess,blitz,180,True,1,1-0,2019-01-27,16:21:15,2019-1,01Roman,StepanBukharkov,2045,1721,win,resigned,1.0,0.0,0.8658895824550439,0.13411041754495612,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3410653062,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/stepanbukharkov
0,chess,blitz,180,True,1,0-1,2019-01-27,16:25:54,2019-1,garmonist-67,01Roman,1696,2049,timeout,win,0.0,1.0,0.1158806436615864,0.8841193563384137,A04,https://www.chess.com/openings/A04-Reti-Opening-Sicilian-Invitation-2.g3,https://www.chess.com/live/game/3410663730,https://api.chess.com/pub/player/garmonist-67,https://api.chess.com/pub/player/01roman
0,chess,blitz,180,True,1,1/2-1/2,2019-01-27,16:33:00,2019-1,Alexandr7524,01Roman,2021,2048,timevsinsufficient,timevsinsufficient,0.5,0.5,0.46122190794282847,0.5387780920571715,D25,https://www.chess.com/openings/D25-Queens-Gambit-Accepted-3.Nf3-Nf6-4.e3,https://www.chess.com/live/game/3410681187,https://api.chess.com/pub/player/alexandr7524,https://api.chess.com/pub/player/01roman
0,chess,blitz,180,True,1,1-0,2019-01-27,16:39:37,2019-1,01Roman,Alekseykor,2049,1466,win,timeout,1.0,0.0,0.9663013437531566,0.03369865624684348,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/3410697117,https://api.chess.com/pub/player/01roman,https://api.chess.com/pub/player/alekseykor
0,chess,blitz,180,True,1,0-1,2019-01-27,16:45:50,2019-1,rhfdgh,01Roman,1751,2054,resigned,win,0.0,1.0,0.14877920237509723,0.8512207976249028,A31,https://www.chess.com/openings/A31-English-Opening-Symmetrical-Anti-Benoni-Variation...4.Nxd4-b6-5.Nc3-Bb7,https://www.chess.com/live/game/3410712523,https://api.chess.com/pub/player/rhfdgh,https://api.chess.com/pub/player/01roman
