,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,180,True,1,1-0,2019-06-01,07:04:11,2019-6,030362,Nosnibourbos,2031,1836,win,timeout,1.0,0.0,0.7544540419421866,0.24554595805781354,D11,https://www.chess.com/openings/D11-Slav-Defense-Modern-Line-3...Nf6,https://www.chess.com/live/game/3746336076,https://api.chess.com/pub/player/030362,https://api.chess.com/pub/player/nosnibourbos
0,chess,blitz,180,True,1,1-0,2019-06-01,07:10:10,2019-6,Elius28,030362,2078,2024,win,timeout,1.0,0.0,0.577092475825329,0.422907524174671,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/3746344615,https://api.chess.com/pub/player/elius28,https://api.chess.com/pub/player/030362
0,chess,blitz,180,True,1,1-0,2019-06-01,07:27:34,2019-6,Aces42,030362,2068,2017,win,timeout,1.0,0.0,0.5728722513945045,0.4271277486054956,A00,https://www.chess.com/openings/A00-Polish-Opening,https://www.chess.com/live/game/3746370375,https://api.chess.com/pub/player/aces42,https://api.chess.com/pub/player/030362
0,chess,blitz,180,True,1,1/2-1/2,2019-06-01,07:49:55,2019-6,440volts,030362,2001,2017,repetition,repetition,0.5,0.5,0.4769904127024377,0.5230095872975623,C00,https://www.chess.com/openings/C00-French-Defense-Knight-Variation,https://www.chess.com/live/game/3746404230,https://api.chess.com/pub/player/440volts,https://api.chess.com/pub/player/030362
0,chess,blitz,180,True,1,0-1,2019-06-01,08:02:33,2019-6,030362,bishop196,2006,1883,timeout,win,0.0,1.0,0.6699690139034832,0.3300309860965169,D30,https://www.chess.com/openings/D30-Queens-Gambit-Declined-3.Nf3-Nf6,https://www.chess.com/live/game/3746423851,https://api.chess.com/pub/player/030362,https://api.chess.com/pub/player/bishop196
0,chess,blitz,180,True,1,1-0,2019-06-01,09:27:24,2019-6,030362,AdrianoBiason,2014,2003,win,resigned,1.0,0.0,0.515824985264735,0.4841750147352649,D03,https://www.chess.com/openings/D03-Queens-Pawn-Opening-Torre-Attack-3...e6,https://www.chess.com/live/game/3746556308,https://api.chess.com/pub/player/030362,https://api.chess.com/pub/player/adrianobiason
0,chess,blitz,180,True,1,0-1,2019-06-01,09:29:53,2019-6,MashalRashid,030362,1910,2020,resigned,win,0.0,1.0,0.34678283278113026,0.6532171672188698,C00,https://www.chess.com/openings/C00-French-Defense,https://www.chess.com/live/game/3746559463,https://api.chess.com/pub/player/mashalrashid,https://api.chess.com/pub/player/030362
0,chess,blitz,180,True,1,0-1,2019-06-01,09:50:39,2019-6,AmbitiosMan,030362,2004,2028,resigned,win,0.0,1.0,0.46551605527316847,0.5344839447268315,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-English-Defense-3.e4-Bb7-4.Bd3,https://www.chess.com/live/game/3746593754,https://api.chess.com/pub/player/ambitiosman,https://api.chess.com/pub/player/030362
0,chess,blitz,180,True,1,1-0,2019-06-01,09:56:31,2019-6,030362,AmbitiosMan,2035,1997,win,resigned,1.0,0.0,0.554469374021676,0.44553062597832394,A48,https://www.chess.com/openings/A48-Torre-Attack-Fianchetto-Defense-4.Nbd2-O-O-5.e4-d6,https://www.chess.com/live/game/3746604049,https://api.chess.com/pub/player/030362,https://api.chess.com/pub/player/ambitiosman
0,chess,blitz,180,True,1,0-1,2019-06-01,10:00:02,2019-6,AmbitiosMan,030362,1990,2042,timeout,win,0.0,1.0,0.42571979634547563,0.5742802036545245,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-English-Defense-3.e4-Bb7-4.f3-f5,https://www.chess.com/live/game/3746609479,https://api.chess.com/pub/player/ambitiosman,https://api.chess.com/pub/player/030362
