,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,180,True,1,0-1,2018-10-02,20:45:23,2018-10,VladTretiak20,0712chains,2325,2277,resigned,win,0.0,1.0,0.5686413918836677,0.43135860811633236,B96,https://www.chess.com/openings/B96-Sicilian-Defense-Open-Najdorf-Variation-6.Bg5-e6-7.f4-Nbd7-8.Qf3,https://www.chess.com/live/game/3115821894,https://api.chess.com/pub/player/vladtretiak20,https://api.chess.com/pub/player/0712chains
0,chess,blitz,300,True,1,0-1,2018-10-02,20:51:56,2018-10,0712chains,VLADOXXX,2268,2258,resigned,win,0.0,1.0,0.5143871841659987,0.48561281583400134,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/3115834041,https://api.chess.com/pub/player/0712chains,https://api.chess.com/pub/player/vladoxxx
0,chess,blitz,300,True,1,0-1,2018-10-02,20:59:20,2018-10,0712chains,riga1960,2262,2361,timeout,win,0.0,1.0,0.3612622508882752,0.6387377491117249,A41,https://www.chess.com/openings/A41-Queens-Pawn-Opening-1...d6,https://www.chess.com/live/game/3115847522,https://api.chess.com/pub/player/0712chains,https://api.chess.com/pub/player/riga1960
0,chess,blitz,300,True,1,1-0,2018-10-02,21:10:05,2018-10,Peter-musk,0712chains,2322,2255,win,resigned,1.0,0.0,0.5952430396515719,0.4047569603484281,A08,https://www.chess.com/openings/A08-Kings-Indian-Attack-French-Variation-4.d4,https://www.chess.com/live/game/3115867412,https://api.chess.com/pub/player/peter-musk,https://api.chess.com/pub/player/0712chains
0,chess,blitz,300,True,1,1-0,2018-10-02,21:16:31,2018-10,ariesop,0712chains,2128,2244,win,checkmated,1.0,0.0,0.33900090875364175,0.6609990912463583,A45,https://www.chess.com/openings/A45-Indian-Game,https://www.chess.com/live/game/3115880249,https://api.chess.com/pub/player/ariesop,https://api.chess.com/pub/player/0712chains
0,chess,blitz,300,True,1,1-0,2018-10-03,18:47:25,2018-10,6TgX2L,0712chains,2225,2234,win,timeout,1.0,0.0,0.48705085510713625,0.5129491448928637,B25,https://www.chess.com/openings/B25-Sicilian-Defense-Closed-Fianchetto-Variation...5.d3-d6-6.f4-Nf6,https://www.chess.com/live/game/3117843025,https://api.chess.com/pub/player/6tgx2l,https://api.chess.com/pub/player/0712chains
0,chess,blitz,600,True,1,0-1,2018-10-03,20:26:02,2018-10,0712chains,Tek9Stevy,2228,2327,resigned,win,0.0,1.0,0.3612622508882752,0.6387377491117249,A41,https://www.chess.com/openings/A41-Queens-Pawn-Opening-1...d6,https://www.chess.com/live/game/3118041870,https://api.chess.com/pub/player/0712chains,https://api.chess.com/pub/player/tek9stevy
0,chess,blitz,600,True,1,1-0,2018-10-03,20:30:50,2018-10,Tek9Stevy,0712chains,2335,2222,win,checkmated,1.0,0.0,0.6571186864870786,0.34288131351292145,D07,https://www.chess.com/openings/D07-Queens-Gambit-Declined-Chigorin-Main-Line-4.Nc3,https://www.chess.com/live/game/3118051169,https://api.chess.com/pub/player/tek9stevy,https://api.chess.com/pub/player/0712chains
0,chess,blitz,600,True,1,0-1,2018-10-03,20:33:14,2018-10,0712chains,Tek9Stevy,2216,2343,resigned,win,0.0,1.0,0.3249597989597013,0.6750402010402987,A45,https://www.chess.com/openings/A45-Indian-Game,https://www.chess.com/live/game/3118055603,https://api.chess.com/pub/player/0712chains,https://api.chess.com/pub/player/tek9stevy
0,chess,blitz,300,True,1,0-1,2018-10-04,19:47:03,2018-10,0712chains,BashkimAsani,2207,2202,resigned,win,0.0,1.0,0.5071950817090514,0.49280491829094863,A80,https://www.chess.com/openings/A80-Dutch-Defense-2.Bf4,https://www.chess.com/live/game/3120217437,https://api.chess.com/pub/player/0712chains,https://api.chess.com/pub/player/bashkimasani
