,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,300,True,1,0-1,2018-02-07,15:27:19,2018-2,0812BSA,Zach714,692,710,checkmated,win,0.0,1.0,0.4741190691088309,0.525880930891169,A04,https://www.chess.com/openings/A04-Reti-Opening-Arctic-Defense,https://www.chess.com/live/game/2601255729,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/zach714
0,chess,blitz,300,True,1,0-1,2018-02-15,11:57:19,2018-2,0812BSA,saffu_7865,684,700,timeout,win,0.0,1.0,0.4769904127024377,0.5230095872975623,A04,https://www.chess.com/openings/A04-Reti-Opening-Queens-Gambit-Invitation,https://www.chess.com/live/game/2617990315,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/saffu_7865
0,chess,blitz,300,True,1,1-0,2018-02-15,12:11:20,2018-2,razasaheb,0812BSA,571,673,win,checkmated,1.0,0.0,0.3572869311673796,0.6427130688326204,B03,https://www.chess.com/openings/B03-Alekhine-Defense-Normal-Variation-3.d4,https://www.chess.com/live/game/2618009882,https://api.chess.com/pub/player/razasaheb,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,0-1,2018-02-15,12:18:47,2018-2,astonge,0812BSA,635,680,checkmated,win,0.0,1.0,0.4355995097595788,0.5644004902404213,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-Mason-Attack,https://www.chess.com/live/game/2618020323,https://api.chess.com/pub/player/astonge,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-02-15,12:28:10,2018-2,0812BSA,sarwatkhedr,688,670,win,timeout,1.0,0.0,0.525880930891169,0.4741190691088309,D02,https://www.chess.com/openings/D02-Queens-Pawn-Opening-Zukertort-Variation,https://www.chess.com/live/game/2618033556,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/sarwatkhedr
0,chess,blitz,300,True,1,1-0,2018-02-16,14:01:25,2018-2,PunyapatKaimuk,0812BSA,672,679,win,checkmated,1.0,0.0,0.48992755307256153,0.5100724469274385,B00,https://www.chess.com/openings/B00-Nimzowitsch-Defense-2.d4,https://www.chess.com/live/game/2620326645,https://api.chess.com/pub/player/punyapatkaimuk,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,180,True,1,0-1,2018-02-17,05:08:58,2018-2,Miqueas12345,0812BSA,622,686,resigned,win,0.0,1.0,0.4089244036850566,0.5910755963149433,C01,https://www.chess.com/openings/C01-French-Defense-Perseus-Gambit,https://www.chess.com/live/game/2621780471,https://api.chess.com/pub/player/miqueas12345,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,180,True,1,1-0,2018-02-17,05:19:38,2018-2,0812BSA,leviosa79,696,769,win,timeout,1.0,0.0,0.39646368147382194,0.6035363185261781,A21,https://www.chess.com/openings/A21-English-Opening-Reversed-Sicilian-Variation,https://www.chess.com/live/game/2621792271,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/leviosa79
0,chess,blitz,180,True,1,0-1,2018-02-17,05:24:22,2018-2,leviosa79,0812BSA,759,706,checkmated,win,0.0,1.0,0.5756869523764296,0.4243130476235704,C00,https://www.chess.com/openings/C00-French-Defense-Schlechter-Variation,https://www.chess.com/live/game/2621797292,https://api.chess.com/pub/player/leviosa79,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-02-17,06:17:55,2018-2,0812BSA,rocketkitty,714,711,win,timeout,1.0,0.0,0.5043172397550598,0.49568276024494023,A04,https://www.chess.com/openings/A04-Reti-Opening-Black-Mustang-Defense,https://www.chess.com/live/game/2621855792,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/rocketkitty
0,chess,blitz,300,True,1,0-1,2018-02-23,12:43:08,2018-2,0812BSA,qj86,708,787,checkmated,win,0.0,1.0,0.3882294992189357,0.6117705007810643,A07,https://www.chess.com/openings/A07-Kings-Indian-Attack-Keres-Variation,https://www.chess.com/live/game/2635329583,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/qj86
0,chess,blitz,300,True,1,1-0,2018-02-24,01:18:54,2018-2,0812BSA,riveraedgar,715,649,win,abandoned,1.0,0.0,0.5938553852361779,0.4061446147638222,A07,https://www.chess.com/openings/A07-Kings-Indian-Attack,https://www.chess.com/live/game/2636651495,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/riveraedgar
0,chess,blitz,300,True,1,0-1,2018-02-24,01:27:55,2018-2,Sailor_Mallah,0812BSA,671,722,checkmated,win,0.0,1.0,0.4271277486054956,0.5728722513945045,A00,https://www.chess.com/openings/A00-Vant-Kruijs-Opening,https://www.chess.com/live/game/2636662635,https://api.chess.com/pub/player/sailor_mallah,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-02-24,06:22:00,2018-2,Kumysoff,0812BSA,722,713,win,checkmated,1.0,0.0,0.5129491448928637,0.48705085510713625,C47,https://www.chess.com/openings/C47-Four-Knights-Game-Italian-Variation,https://www.chess.com/live/game/2637006367,https://api.chess.com/pub/player/kumysoff,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,0-1,2018-02-24,06:39:18,2018-2,mdehsan2,0812BSA,748,722,checkmated,win,0.0,1.0,0.5373473171664928,0.4626526828335072,A00,https://www.chess.com/openings/A00-Mieses-Opening,https://www.chess.com/live/game/2637025888,https://api.chess.com/pub/player/mdehsan2,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-02-24,06:53:25,2018-2,0812BSA,Egeltje,729,667,win,timeout,1.0,0.0,0.5882899718631628,0.41171002813683716,A06,https://www.chess.com/openings/A06-Reti-Opening-Reversed-Mexican-Defense,https://www.chess.com/live/game/2637041842,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/egeltje
0,chess,blitz,300,True,1,1-0,2018-02-27,05:30:32,2018-2,khalifamo,0812BSA,847,723,win,checkmated,1.0,0.0,0.6712405808158318,0.32875941918416823,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Leonardis-Variation,https://www.chess.com/live/game/2643510365,https://api.chess.com/pub/player/khalifamo,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-02-27,05:45:43,2018-2,0812BSA,jswizza,731,702,win,checkmated,1.0,0.0,0.5416377027147634,0.45836229728523653,A05,https://www.chess.com/openings/A05-Reti-Opening-Kings-Indian-Attack,https://www.chess.com/live/game/2643527665,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/jswizza
0,chess,blitz,300,True,1,0-1,2018-02-27,11:05:26,2018-2,0812BSA,souvik02,721,642,checkmated,win,0.0,1.0,0.6117705007810643,0.3882294992189357,A04,https://www.chess.com/openings/A04-Reti-Opening-Queens-Gambit-Invitation,https://www.chess.com/live/game/2643907892,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/souvik02
0,chess,blitz,300,True,1,1-0,2018-02-27,11:10:06,2018-2,Saas3011,0812BSA,557,709,win,checkmated,1.0,0.0,0.2942186402879975,0.7057813597120025,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/2643913867,https://api.chess.com/pub/player/saas3011,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,0-1,2018-02-27,11:20:03,2018-2,saif9699,0812BSA,815,720,timeout,win,0.0,1.0,0.6334077000711676,0.3665922999288324,C48,https://www.chess.com/openings/C48-Four-Knights-Game-Spanish-Variation,https://www.chess.com/live/game/2643927120,https://api.chess.com/pub/player/saif9699,https://api.chess.com/pub/player/0812bsa
