,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,300,True,1,0-1,2018-03-02,15:56:30,2018-3,0812BSA,yabouy2,711,675,checkmated,win,0.0,1.0,0.5516235473109605,0.4483764526890395,A04,https://www.chess.com/openings/A04-Reti-Opening-Queenside-Fianchetto-Variation,https://www.chess.com/live/game/2650941702,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/yabouy2
0,chess,blitz,300,True,1,1-0,2018-03-03,02:44:53,2018-3,0812BSA,sadnesssword,720,744,win,resigned,1.0,0.0,0.46551605527316847,0.5344839447268315,B27,https://www.chess.com/openings/B27-Sicilian-Defense-2.Nf3,https://www.chess.com/live/game/2652051331,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/sadnesssword
0,chess,blitz,300,True,1,1-0,2018-03-03,03:49:08,2018-3,santoshchouhan,0812BSA,629,710,win,checkmated,1.0,0.0,0.3854986389914422,0.6145013610085578,A20,https://www.chess.com/openings/A20-English-Opening-Kings-English-Queen-Variation,https://www.chess.com/live/game/2652126385,https://api.chess.com/pub/player/santoshchouhan,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-03-03,11:18:55,2018-3,0812BSA,RedWar000,718,721,win,timeout,1.0,0.0,0.49568276024494023,0.5043172397550598,A04,https://www.chess.com/openings/A04-Reti-Opening-Queens-Gambit-Invitation,https://www.chess.com/live/game/2652677385,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/redwar000
0,chess,blitz,300,True,1,0-1,2018-03-03,13:57:10,2018-3,MRLockey,0812BSA,693,726,abandoned,win,0.0,1.0,0.45265148195413535,0.5473485180458647,A45,https://www.chess.com/openings/A45-Trompowsky-Attack,https://www.chess.com/live/game/2652929545,https://api.chess.com/pub/player/mrlockey,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,0-1,2018-03-04,02:20:48,2018-3,Msb00017,0812BSA,679,733,timeout,win,0.0,1.0,0.422907524174671,0.577092475825329,A00,https://www.chess.com/openings/A00-Kadas-Opening,https://www.chess.com/live/game/2654222865,https://api.chess.com/pub/player/msb00017,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-03-04,05:07:06,2018-3,0812BSA,gouravjedia,737,559,win,timeout,1.0,0.0,0.7358774441014764,0.2641225558985236,A00,https://www.chess.com/openings/A00-Hungarian-Opening-Reversed-Alekhine-Variation,https://www.chess.com/live/game/2654409937,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/gouravjedia
0,chess,blitz,300,True,1,0-1,2018-03-04,05:15:12,2018-3,0812BSA,keeennyg,731,818,checkmated,win,0.0,1.0,0.3773498042127379,0.6226501957872621,A00,https://www.chess.com/openings/A00-Grob-Opening-Grob-Gambit-with-2-Bg2,https://www.chess.com/live/game/2654419092,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/keeennyg
0,chess,blitz,300,True,1,0-1,2018-03-04,05:49:24,2018-3,Metilamina,0812BSA,704,739,timeout,win,0.0,1.0,0.449800646746463,0.550199353253537,B02,https://www.chess.com/openings/B02-Alekhine-Defense-2.Nc3,https://www.chess.com/live/game/2654457644,https://api.chess.com/pub/player/metilamina,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,180,True,1,0-1,2018-03-04,12:16:51,2018-3,checkmoitt111,0812BSA,690,746,resigned,win,0.0,1.0,0.42010023964211857,0.5798997603578815,C01,https://www.chess.com/openings/C01-French-Defense-Perseus-Carlson-Gambit,https://www.chess.com/live/game/2654965134,https://api.chess.com/pub/player/checkmoitt111,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,180,True,1,1-0,2018-03-04,12:22:00,2018-3,0812BSA,GopalPatidar,754,735,win,timeout,1.0,0.0,0.527315973006493,0.4726840269935071,A34,https://www.chess.com/openings/A34-English-Opening-Symmetrical-Variation-2.Nc3-b6-3.Nf3,https://www.chess.com/live/game/2654972784,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/gopalpatidar
0,chess,blitz,300,True,1,1-0,2018-03-04,16:08:26,2018-3,0812BSA,Demosdemise,762,750,win,checkmated,1.0,0.0,0.5172625244323762,0.4827374755676238,A04,https://www.chess.com/openings/A04-Reti-Opening-Queens-Gambit-Invitation,https://www.chess.com/live/game/2655371024,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/demosdemise
0,chess,blitz,300,True,1,1-0,2018-03-05,06:30:33,2018-3,jaihot,0812BSA,911,757,win,checkmated,1.0,0.0,0.7081663882812006,0.2918336117187994,A15,https://www.chess.com/openings/A15-English-Opening-Anglo-Indian-Defense,https://www.chess.com/live/game/2656717189,https://api.chess.com/pub/player/jaihot,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-03-05,06:49:49,2018-3,0812BSA,Saul_ls,765,762,win,checkmated,1.0,0.0,0.5043172397550598,0.49568276024494023,A00,https://www.chess.com/openings/A00-Hungarian-Opening-Reversed-Alekhine-Variation,https://www.chess.com/live/game/2656738108,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/saul_ls
0,chess,blitz,300,True,1,1-0,2018-03-05,13:15:38,2018-3,dknight_3000,0812BSA,900,760,win,checkmated,1.0,0.0,0.691236152414763,0.308763847585237,A50,https://www.chess.com/openings/A50-Indian-Game-2.c4,https://www.chess.com/live/game/2657220027,https://api.chess.com/pub/player/dknight_3000,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,0-1,2018-03-06,11:14:57,2018-3,0812BSA,DarknessComing,755,903,checkmated,win,0.0,1.0,0.29902260138989206,0.700977398610108,A00,https://www.chess.com/openings/A00-Hungarian-Opening-1...d5-2.Bg2-e5,https://www.chess.com/live/game/2659224541,https://api.chess.com/pub/player/0812bsa,https://api.chess.com/pub/player/darknesscoming
0,chess,blitz,300,True,1,1-0,2018-03-06,11:22:40,2018-3,cebroth,0812BSA,775,747,win,checkmated,1.0,0.0,0.5402082283237456,0.45979177167625435,D20,https://www.chess.com/openings/D20-Queens-Gambit-Accepted-Old-Variation,https://www.chess.com/live/game/2659234688,https://api.chess.com/pub/player/cebroth,https://api.chess.com/pub/player/0812bsa
0,chess,blitz,300,True,1,1-0,2018-03-06,11:30:00,2018-3,rahulyrahul99,0812BSA,777,740,win,checkmated,1.0,0.0,0.5530468951694625,0.4469531048305375,B06,https://www.chess.com/openings/B06-Modern-Defense-Norwegian-Defense-3.e5,https://www.chess.com/live/game/2659244903,https://api.chess.com/pub/player/rahulyrahul99,https://api.chess.com/pub/player/0812bsa
