,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,600,True,1,1-0,2019-05-02,17:07:07,2019-5,08SRG08,Nathan12N,1299,1292,win,resigned,1.0,0.0,0.5100724469274385,0.48992755307256153,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/3665382563,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/nathan12n
0,chess,blitz,600,True,1,1/2-1/2,2019-05-02,17:08:59,2019-5,08SRG08,Runningtostandstill,1298,1268,repetition,repetition,0.5,0.5,0.5430664920222119,0.4569335079777882,C20,https://www.chess.com/openings/C20-Bishops-Opening-Boi-Variation,https://www.chess.com/live/game/3665385190,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/runningtostandstill
0,chess,blitz,600,True,1,1-0,2019-05-02,18:55:38,2019-5,Andersonjls,08SRG08,1269,1289,win,resigned,1.0,0.0,0.4712494361077314,0.5287505638922686,C55,https://www.chess.com/openings/C55-Italian-Game-Anti-Fried-Liver-Defense,https://www.chess.com/live/game/3665659441,https://api.chess.com/pub/player/andersonjls,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-05-02,19:04:02,2019-5,08SRG08,sfantu_mitri,1280,1268,resigned,win,0.0,1.0,0.5172625244323762,0.4827374755676238,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/3665679766,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/sfantu_mitri
0,chess,blitz,600,True,1,0-1,2019-05-02,20:12:19,2019-5,08SRG08,malina871,1272,1268,timeout,win,0.0,1.0,0.5057562084111449,0.49424379158885506,C00,https://www.chess.com/openings/C00-French-Defense-Horwitz-Attack,https://www.chess.com/live/game/3665850794,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/malina871
0,chess,blitz,600,True,1,0-1,2019-05-02,20:29:36,2019-5,08SRG08,Shaun2556,1264,1274,checkmated,win,0.0,1.0,0.48561281583400134,0.5143871841659987,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/3665892715,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/shaun2556
0,chess,blitz,600,True,1,1-0,2019-05-02,20:43:07,2019-5,Shaun2556,08SRG08,1282,1256,win,resigned,1.0,0.0,0.5373473171664928,0.4626526828335072,C42,https://www.chess.com/openings/C42-Petrovs-Defense-Urusov-Gambit,https://www.chess.com/live/game/3665925284,https://api.chess.com/pub/player/shaun2556,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-05-02,20:45:52,2019-5,08SRG08,Shaun2556,1249,1289,abandoned,win,0.0,1.0,0.44268836623770724,0.5573116337622928,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-1...e5-2.b3,https://www.chess.com/live/game/3665931577,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/shaun2556
0,chess,blitz,600,True,1,1-0,2019-05-03,17:52:11,2019-5,spud1984KM,08SRG08,1256,1241,win,timeout,1.0,0.0,0.5215733330511455,0.47842666694885455,A00,https://www.chess.com/openings/A00-Saragossa-Opening-1...e5,https://www.chess.com/live/game/3668242008,https://api.chess.com/pub/player/spud1984km,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-05-03,18:08:53,2019-5,08SRG08,spud1984KM,1233,1264,resigned,win,0.0,1.0,0.4555054269169921,0.544494573083008,B10,https://www.chess.com/openings/B10-Caro-Kann-Defense-Hillbilly-Attack,https://www.chess.com/live/game/3668285178,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/spud1984km
