,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,600,True,1,1-0,2019-08-01,17:29:01,2019-8,08SRG08,alcapoen,1407,1386,win,resigned,1.0,0.0,0.5301846800039021,0.469815319996098,C50,https://www.chess.com/openings/C50-Italian-Game-Hungarian-Defense,https://www.chess.com/live/game/3912767609,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/alcapoen
0,chess,blitz,600,True,1,1-0,2019-08-01,17:35:06,2019-8,08SRG08,Upe99,1414,1361,win,resigned,1.0,0.0,0.5756869523764296,0.4243130476235704,C50,https://www.chess.com/openings/C50-Giuoco-Piano-Game-4.O-O,https://www.chess.com/live/game/3912780701,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/upe99
0,chess,blitz,600,True,1,1-0,2019-08-01,17:55:42,2019-8,Donidando,08SRG08,1360,1405,win,resigned,1.0,0.0,0.4355995097595788,0.5644004902404213,A40,https://www.chess.com/openings/A40-English-Defense,https://www.chess.com/live/game/3912830748,https://api.chess.com/pub/player/donidando,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-08-01,18:57:38,2019-8,nycolas110589,08SRG08,1452,1414,resigned,win,0.0,1.0,0.554469374021676,0.44553062597832394,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3912978280,https://api.chess.com/pub/player/nycolas110589,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-02,03:57:03,2019-8,08SRG08,WimWijk1,1421,1376,win,checkmated,1.0,0.0,0.5644004902404213,0.4355995097595788,C00,https://www.chess.com/openings/C00-French-Defense-Steinitz-Attack,https://www.chess.com/live/game/3913968587,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/wimwijk1
0,chess,blitz,600,True,1,0-1,2019-08-02,12:32:58,2019-8,08SRG08,ramonsoleman,1413,1430,resigned,win,0.0,1.0,0.47555453887933863,0.5244454611206615,C64,https://www.chess.com/openings/C64-Ruy-Lopez-Opening-Classical-Defense,https://www.chess.com/live/game/3914789819,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/ramonsoleman
0,chess,blitz,600,True,1,0-1,2019-08-02,14:02:05,2019-8,Spurio8,08SRG08,1398,1421,resigned,win,0.0,1.0,0.46694860611555894,0.5330513938844411,A40,https://www.chess.com/openings/A40-English-Defense,https://www.chess.com/live/game/3914982416,https://api.chess.com/pub/player/spurio8,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-08-02,16:36:33,2019-8,08SRG08,japinero,1412,1387,timeout,win,0.0,1.0,0.5359159269451023,0.4640840730548977,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/3915348404,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/japinero
0,chess,blitz,600,True,1,0-1,2019-08-02,18:01:45,2019-8,alekrio,08SRG08,1395,1420,abandoned,win,0.0,1.0,0.4640840730548977,0.5359159269451023,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3915553749,https://api.chess.com/pub/player/alekrio,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-08-03,07:16:40,2019-8,mtn_ymn,08SRG08,1408,1428,resigned,win,0.0,1.0,0.4712494361077314,0.5287505638922686,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3916946323,https://api.chess.com/pub/player/mtn_ymn,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-03,07:25:05,2019-8,empiricalchess,08SRG08,1407,1419,win,resigned,1.0,0.0,0.4827374755676238,0.5172625244323762,C00,https://www.chess.com/openings/C00-French-Defense-Normal-Variation,https://www.chess.com/live/game/3916958884,https://api.chess.com/pub/player/empiricalchess,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-03,07:39:36,2019-8,08SRG08,jbajatoo,1426,1373,win,resigned,1.0,0.0,0.5756869523764296,0.4243130476235704,C55,https://www.chess.com/openings/C55-Italian-Game-Anti-Fried-Liver-Defense,https://www.chess.com/live/game/3916981106,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/jbajatoo
0,chess,blitz,600,True,1,0-1,2019-08-03,11:29:20,2019-8,LordMaverick,08SRG08,1361,1433,resigned,win,0.0,1.0,0.39784190682528303,0.6021580931747169,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3917364171,https://api.chess.com/pub/player/lordmaverick,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-03,12:52:05,2019-8,08SRG08,kohoutvladimir,1442,1465,win,resigned,1.0,0.0,0.46694860611555894,0.5330513938844411,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3-Qd8,https://www.chess.com/live/game/3917527147,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/kohoutvladimir
0,chess,blitz,600,True,1,0-1,2019-08-03,13:07:57,2019-8,08SRG08,cortex323,1434,1452,checkmated,win,0.0,1.0,0.4741190691088309,0.525880930891169,B10,https://www.chess.com/openings/B10-Caro-Kann-Defense-Hillbilly-Attack-2...d5,https://www.chess.com/live/game/3917559773,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/cortex323
0,chess,blitz,600,True,1,0-1,2019-08-03,13:17:28,2019-8,sanchessking,08SRG08,1435,1442,resigned,win,0.0,1.0,0.48992755307256153,0.5100724469274385,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3917580035,https://api.chess.com/pub/player/sanchessking,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-08-03,17:55:39,2019-8,08SRG08,mahmoodnoori,1434,1453,resigned,win,0.0,1.0,0.4726840269935071,0.527315973006493,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3918228517,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/mahmoodnoori
0,chess,blitz,600,True,1,0-1,2019-08-03,18:13:57,2019-8,mahmoodnoori,08SRG08,1445,1442,resigned,win,0.0,1.0,0.5043172397550598,0.49568276024494023,A00,https://www.chess.com/openings/A00-Hungarian-Opening-Symmetrical-Variation,https://www.chess.com/live/game/3918272121,https://api.chess.com/pub/player/mahmoodnoori,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-04,07:52:30,2019-8,08SRG08,MagnusExorcismus,1449,1409,win,resigned,1.0,0.0,0.5573116337622928,0.44268836623770724,C42,https://www.chess.com/openings/C42-Petrovs-Defense-Three-Knights-Game,https://www.chess.com/live/game/3919668886,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/magnusexorcismus
0,chess,blitz,600,True,1,1-0,2019-08-04,16:11:49,2019-8,08SRG08,stelian15,1457,1449,win,checkmated,1.0,0.0,0.5115108912177917,0.4884891087822083,B23,https://www.chess.com/openings/B23-Sicilian-Defense-Closed-Traditional-Line,https://www.chess.com/live/game/3920630092,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/stelian15
0,chess,blitz,600,True,1,0-1,2019-08-04,19:29:29,2019-8,08SRG08,sheri12345,1450,1498,checkmated,win,0.0,1.0,0.43135860811633236,0.5686413918836677,B06,https://www.chess.com/openings/B06-Modern-Defense-with-1-e4-2.Bc4,https://www.chess.com/live/game/3921110644,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/sheri12345
0,chess,blitz,600,True,1,1-0,2019-08-05,09:56:13,2019-8,Rajiiib,08SRG08,1423,1441,win,timeout,1.0,0.0,0.4741190691088309,0.525880930891169,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3922516317,https://api.chess.com/pub/player/rajiiib,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-05,18:36:12,2019-8,08SRG08,blackarseboy,1448,1409,win,resigned,1.0,0.0,0.5558909611168531,0.4441090388831469,C40,https://www.chess.com/openings/C40-Kings-Pawn-Opening-Kings-Knight-Variation,https://www.chess.com/live/game/3923655205,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/blackarseboy
0,chess,blitz,600,True,1,1-0,2019-08-09,13:12:57,2019-8,wmerinost,08SRG08,1433,1439,win,resigned,1.0,0.0,0.4913661641789174,0.5086338358210827,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3933907371,https://api.chess.com/pub/player/wmerinost,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,0-1,2019-08-09,13:18:20,2019-8,08SRG08,FARMIIZUDIN,1430,1424,timeout,win,0.0,1.0,0.5086338358210827,0.4913661641789174,B07,https://www.chess.com/openings/B07-Pirc-Defense-2.d4-g6,https://www.chess.com/live/game/3933918145,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/farmiizudin
0,chess,blitz,600,True,1,0-1,2019-08-11,13:21:41,2019-8,MasterSatori,08SRG08,1357,1436,checkmated,win,0.0,1.0,0.3882294992189357,0.6117705007810643,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3939288779,https://api.chess.com/pub/player/mastersatori,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-11,13:32:04,2019-8,B1acksun21,08SRG08,1443,1428,win,resigned,1.0,0.0,0.5215733330511455,0.47842666694885455,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3939310938,https://api.chess.com/pub/player/b1acksun21,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-11,17:11:59,2019-8,Shelteroz,08SRG08,1459,1421,win,resigned,1.0,0.0,0.554469374021676,0.44553062597832394,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense-2.d4-Bb7,https://www.chess.com/live/game/3939822341,https://api.chess.com/pub/player/shelteroz,https://api.chess.com/pub/player/08srg08
0,chess,blitz,600,True,1,1-0,2019-08-11,20:32:09,2019-8,08SRG08,artyoml1,1427,1345,win,checkmated,1.0,0.0,0.615864104253756,0.384135895746244,B07,https://www.chess.com/openings/B07-Pirc-Defense-2.Nc3-Nf6,https://www.chess.com/live/game/3940296735,https://api.chess.com/pub/player/08srg08,https://api.chess.com/pub/player/artyoml1
