,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,rapid,3600,True,1,1-0,2018-12-02,15:18:29,2018-12,maratebz,09Tigr09,892,865,win,checkmated,1.0,0.0,0.5387780920571715,0.46122190794282847,C21,https://www.chess.com/openings/C21-Center-Game,https://www.chess.com/live/game/3261903415,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,1-0,2018-12-02,15:32:37,2018-12,09Tigr09,maratebz,878,881,win,checkmated,1.0,0.0,0.49568276024494023,0.5043172397550598,B02,https://www.chess.com/openings/B02-Alekhine-Defense-Maroczy-Variation,https://www.chess.com/live/game/3261934384,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,3600,True,1,1-0,2018-12-02,16:05:44,2018-12,maratebz,09Tigr09,891,867,win,resigned,1.0,0.0,0.5344839447268315,0.46551605527316847,B00,https://www.chess.com/openings/B00-Nimzowitsch-Defense-Kennedy-Linksspringer-Variation,https://www.chess.com/live/game/3262009536,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,1-0,2018-12-02,16:32:39,2018-12,09Tigr09,maratebz,879,880,win,resigned,1.0,0.0,0.4985608882908471,0.5014391117091528,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Mengarini-Opening,https://www.chess.com/live/game/3262073369,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,3600,True,1,1-0,2018-12-02,17:07:50,2018-12,maratebz,09Tigr09,890,868,win,checkmated,1.0,0.0,0.5316182978281073,0.46838170217189273,C21,https://www.chess.com/openings/C21-Center-Game-Accepted-3.Qxd4,https://www.chess.com/live/game/3262158840,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,1-0,2018-12-02,17:28:59,2018-12,09Tigr09,maratebz,879,880,win,checkmated,1.0,0.0,0.4985608882908471,0.5014391117091528,C26,https://www.chess.com/openings/C26-Vienna-Game-Falkbeer-Mengarini-Variation,https://www.chess.com/live/game/3262210545,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,3600,True,1,0-1,2018-12-02,17:56:44,2018-12,maratebz,09Tigr09,871,889,checkmated,win,0.0,1.0,0.4741190691088309,0.525880930891169,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-St-George-Defense-2.d4,https://www.chess.com/live/game/3262278304,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,1-0,2018-12-02,19:04:10,2018-12,maratebz,09Tigr09,880,879,win,resigned,1.0,0.0,0.5014391117091528,0.4985608882908471,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-St-George-Defense-2.d4,https://www.chess.com/live/game/3262441414,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,0-1,2018-12-02,19:31:29,2018-12,09Tigr09,maratebz,870,889,checkmated,win,0.0,1.0,0.4726840269935071,0.527315973006493,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Mengarini-Opening,https://www.chess.com/live/game/3262507838,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,3600,True,1,1-0,2018-12-02,19:57:46,2018-12,maratebz,09Tigr09,897,861,win,checkmated,1.0,0.0,0.5516235473109605,0.4483764526890395,C40,https://www.chess.com/openings/C40-Kings-Pawn-Opening-Kings-Knight-Variation,https://www.chess.com/live/game/3262573618,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
