,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,rapid,3600,True,1,1-0,2019-05-01,16:01:57,2019-5,09Tigr09,maratebz,945,967,win,checkmated,1.0,0.0,0.46838170217189273,0.5316182978281073,C44,https://www.chess.com/openings/C44-Kings-Pawn-Opening-Kings-Knight-Variation-2...Nc6,https://www.chess.com/live/game/3662531391,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,3600,True,1,1-0,2019-05-01,16:57:58,2019-5,maratebz,09Tigr09,981,935,win,checkmated,1.0,0.0,0.5658152030692333,0.43418479693076684,B06,https://www.chess.com/openings/B06-Modern-Defense-with-1-e4,https://www.chess.com/live/game/3662675155,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,1800,True,1,0-1,2019-05-01,18:40:01,2019-5,09Tigr09,Halis009,925,962,resigned,win,0.0,1.0,0.4469531048305375,0.5530468951694625,B01,https://www.chess.com/openings/B01-Scandinavian-Defense,https://www.chess.com/live/game/3662939956,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/halis009
0,chess,rapid,3600,True,1,0-1,2019-05-02,18:28:02,2019-5,09Tigr09,maratebz,916,993,resigned,win,0.0,1.0,0.39096739659576046,0.6090326034042396,C60,https://www.chess.com/openings/C60-Ruy-Lopez-Opening,https://www.chess.com/live/game/3665587807,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,3600,True,1,1/2-1/2,2019-05-02,18:54:41,2019-5,maratebz,09Tigr09,990,918,repetition,repetition,0.5,0.5,0.6021580931747169,0.39784190682528303,C42,https://www.chess.com/openings/C42-Petrovs-Defense-Classical-Damiano-Variation,https://www.chess.com/live/game/3665655488,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,0-1,2019-05-02,19:38:13,2019-5,09Tigr09,maratebz,910,1001,resigned,win,0.0,1.0,0.3719551943780582,0.6280448056219418,C24,https://www.chess.com/openings/C24-Bishops-Opening-Berlin-Defense-3.d3,https://www.chess.com/live/game/3665763690,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/maratebz
0,chess,rapid,1800,True,1,0-1,2019-05-03,14:19:25,2019-5,Halis009,09Tigr09,953,921,resigned,win,0.0,1.0,0.5459219227804837,0.4540780772195163,C00,https://www.chess.com/openings/C00-French-Defense-Normal-Variation,https://www.chess.com/live/game/3667714435,https://api.chess.com/pub/player/halis009,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,1800,True,1,1-0,2019-05-03,14:36:31,2019-5,09Tigr09,Halis009,931,944,win,checkmated,1.0,0.0,0.48130022207044143,0.5186997779295586,B01,https://www.chess.com/openings/B01-Scandinavian-Defense,https://www.chess.com/live/game/3667754455,https://api.chess.com/pub/player/09tigr09,https://api.chess.com/pub/player/halis009
0,chess,rapid,1800,True,1,0-1,2019-05-03,14:55:47,2019-5,Halis009,09Tigr09,936,941,checkmated,win,0.0,1.0,0.49280491829094863,0.5071950817090514,C21,https://www.chess.com/openings/C21-Center-Game,https://www.chess.com/live/game/3667800405,https://api.chess.com/pub/player/halis009,https://api.chess.com/pub/player/09tigr09
0,chess,rapid,3600,True,1,1-0,2019-05-03,15:17:16,2019-5,maratebz,09Tigr09,1012,934,win,checkmated,1.0,0.0,0.6104024220946891,0.389597577905311,C40,https://www.chess.com/openings/C40-Kings-Pawn-Opening-Kings-Knight-Variation,https://www.chess.com/live/game/3667850481,https://api.chess.com/pub/player/maratebz,https://api.chess.com/pub/player/09tigr09
