,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,rapid,900+10,True,1,0-1,2018-01-24,04:41:22,2018-1,09vrw,LuisVepr,1288,1164,resigned,win,0.0,1.0,0.6712405808158318,0.32875941918416823,C00,https://www.chess.com/openings/C00-French-Defense-Knight-Variation-2...d5,https://www.chess.com/live/game/2571292776,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/luisvepr
0,chess,rapid,900+10,True,1,0-1,2018-01-24,05:09:57,2018-1,KillaMC555,09vrw,1215,1295,resigned,win,0.0,1.0,0.3868631798468569,0.6131368201531431,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-1...e5,https://www.chess.com/live/game/2571324216,https://api.chess.com/pub/player/killamc555,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,1-0,2018-01-24,05:20:28,2018-1,09vrw,mja582,1302,1235,win,resigned,1.0,0.0,0.5952430396515719,0.4047569603484281,C44,https://www.chess.com/openings/C44-Kings-Pawn-Opening-Kings-Knight-Konstantinopolsky-Variation,https://www.chess.com/live/game/2571335600,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/mja582
0,chess,rapid,900+10,True,1,1-0,2018-01-24,06:44:25,2018-1,09vrw,johnkeithburns,1310,1303,win,resigned,1.0,0.0,0.5100724469274385,0.48992755307256153,B10,https://www.chess.com/openings/B10-Caro-Kann-Defense-2.Nf3-d5,https://www.chess.com/live/game/2571424515,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/johnkeithburns
0,chess,rapid,900+10,True,1,1-0,2018-01-24,06:52:24,2018-1,09vrw,MaheSingh888,1319,1339,win,timeout,1.0,0.0,0.4712494361077314,0.5287505638922686,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/2571432382,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/mahesingh888
0,chess,rapid,900+10,True,1,0-1,2018-01-25,23:36:54,2018-1,peludocaballero,09vrw,1267,1326,resigned,win,0.0,1.0,0.41589904118632204,0.584100958813678,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/2575069367,https://api.chess.com/pub/player/peludocaballero,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,1-0,2018-01-25,23:55:56,2018-1,09vrw,Purushottam_470,1333,1265,win,resigned,1.0,0.0,0.596629173305774,0.403370826694226,C00,https://www.chess.com/openings/C00-French-Defense-Knight-Variation-2...d5-3.e5,https://www.chess.com/live/game/2575096460,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/purushottam_470
0,chess,rapid,900+10,True,1,1-0,2018-01-26,00:05:08,2018-1,Astroflex,09vrw,1259,1323,win,resigned,1.0,0.0,0.4089244036850566,0.5910755963149433,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/2575109246,https://api.chess.com/pub/player/astroflex,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,1-0,2018-01-26,04:24:33,2018-1,aarongreenall1979,09vrw,1362,1316,win,checkmated,1.0,0.0,0.5658152030692333,0.43418479693076684,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/2575422619,https://api.chess.com/pub/player/aarongreenall1979,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,0-1,2018-01-28,05:14:18,2018-1,09vrw,dontknowmuch,1310,1419,resigned,win,0.0,1.0,0.34808796012533627,0.6519120398746636,C40,https://www.chess.com/openings/C40-Kings-Pawn-Opening-Kings-Knight-McConnell-Defense,https://www.chess.com/live/game/2579580599,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/dontknowmuch
0,chess,rapid,900+10,True,1,1-0,2018-01-28,06:06:08,2018-1,09vrw,game_theory,1320,1392,win,resigned,1.0,0.0,0.39784190682528303,0.6021580931747169,C44,https://www.chess.com/openings/C44-Kings-Pawn-Opening-Kings-Knight-Konstantinopolsky-Variation,https://www.chess.com/live/game/2579636268,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/game_theory
0,chess,rapid,900+10,True,1,1-0,2018-01-28,06:11:32,2018-1,jlytle,09vrw,1363,1313,win,resigned,1.0,0.0,0.5714631174083814,0.4285368825916186,C24,https://www.chess.com/openings/C24-Bishops-Opening-Berlin-Defense-3.d3-Nc6,https://www.chess.com/live/game/2579641851,https://api.chess.com/pub/player/jlytle,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,1-0,2018-01-29,06:31:18,2018-1,shura3504,09vrw,1320,1305,win,checkmated,1.0,0.0,0.5215733330511455,0.47842666694885455,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/2581787754,https://api.chess.com/pub/player/shura3504,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,0-1,2018-01-30,01:58:02,2018-1,Joebing4343,09vrw,1477,1317,resigned,win,0.0,1.0,0.7152527510491987,0.2847472489508014,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense-2.c4,https://www.chess.com/live/game/2583590349,https://api.chess.com/pub/player/joebing4343,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,1-0,2018-01-30,04:11:12,2018-1,09vrw,y50novo,1322,1182,win,resigned,1.0,0.0,0.691236152414763,0.308763847585237,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Duras-Gambit,https://www.chess.com/live/game/2583749570,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/y50novo
0,chess,rapid,900+10,True,1,0-1,2018-01-30,05:15:33,2018-1,09vrw,theodore_walton,1313,1285,resigned,win,0.0,1.0,0.5402082283237456,0.45979177167625435,C44,https://www.chess.com/openings/C44-Kings-Pawn-Opening-Kings-Knight-Konstantinopolsky-Variation,https://www.chess.com/live/game/2583820840,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/theodore_walton
0,chess,rapid,900+10,True,1,1-0,2018-01-30,05:23:49,2018-1,veedahvandal,09vrw,1349,1306,win,resigned,1.0,0.0,0.5615679389736461,0.43843206102635396,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/2583829765,https://api.chess.com/pub/player/veedahvandal,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,0-1,2018-01-30,05:42:33,2018-1,LMBeveryone,09vrw,1182,1311,resigned,win,0.0,1.0,0.32243941991489944,0.6775605800851006,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/2583849806,https://api.chess.com/pub/player/lmbeveryone,https://api.chess.com/pub/player/09vrw
0,chess,rapid,900+10,True,1,0-1,2018-01-31,17:29:34,2018-1,09vrw,kmaning,1304,1369,resigned,win,0.0,1.0,0.4075337694156682,0.5924662305843318,C44,https://www.chess.com/openings/C44-Kings-Pawn-Opening-Kings-Knight-Konstantinopolsky-Variation,https://www.chess.com/live/game/2586924235,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/kmaning
0,chess,rapid,900+10,True,1,1-0,2018-02-01,02:05:10,2018-2,09vrw,kingslayer5000,1314,1366,win,resigned,1.0,0.0,0.42571979634547563,0.5742802036545245,B07,https://www.chess.com/openings/B07-Pirc-Defense-Modern-Defense-Geller-System,https://www.chess.com/live/game/2587771294,https://api.chess.com/pub/player/09vrw,https://api.chess.com/pub/player/kingslayer5000
0,chess,rapid,900+10,True,1,1-0,2018-02-01,02:39:47,2018-2,Mmohei,09vrw,1378,1307,win,resigned,1.0,0.0,0.6007782458900109,0.399221754109989,C00,https://www.chess.com/openings/C00-French-Defense-Normal-Variation,https://www.chess.com/live/game/2587811438,https://api.chess.com/pub/player/mmohei,https://api.chess.com/pub/player/09vrw
