,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,600,False,1,0-1,2019-07-18,10:27:59,2019-7,0aba,mihail1919,1000,1123,resigned,win,0.0,1.0,0.3300309860965169,0.6699690139034832,B07,https://www.chess.com/openings/B07-Pirc-Defense-2.d4-Nf6,https://www.chess.com/live/game/3873433327,https://api.chess.com/pub/player/0aba,https://api.chess.com/pub/player/mihail1919
0,chess,blitz,600,True,1,1-0,2019-07-18,10:40:46,2019-7,Tigr_D,0aba,1021,831,win,resigned,1.0,0.0,0.7490830628775357,0.2509169371224644,C23,https://www.chess.com/openings/C23-Bishops-Opening,https://www.chess.com/live/game/3873455737,https://api.chess.com/pub/player/tigr_d,https://api.chess.com/pub/player/0aba
0,chess,blitz,600,True,1,0-1,2019-07-18,10:44:11,2019-7,FedorAndreevich,0aba,649,898,checkmated,win,0.0,1.0,0.19257581832872078,0.8074241816712792,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3-Qd8,https://www.chess.com/live/game/3873460460,https://api.chess.com/pub/player/fedorandreevich,https://api.chess.com/pub/player/0aba
0,chess,blitz,600,True,1,1-0,2019-07-18,11:03:01,2019-7,0aba,Djork,1012,964,win,checkmated,1.0,0.0,0.5686413918836677,0.43135860811633236,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-St-George-Defense,https://www.chess.com/live/game/3873495121,https://api.chess.com/pub/player/0aba,https://api.chess.com/pub/player/djork
0,chess,blitz,600,True,1,1-0,2019-07-18,11:09:03,2019-7,0aba,mikeleus1,1105,1086,win,resigned,1.0,0.0,0.527315973006493,0.4726840269935071,C01,https://www.chess.com/openings/C01-French-Defense-Exchange-Variation-3...exd5-4.Nf3,https://www.chess.com/live/game/3873506220,https://api.chess.com/pub/player/0aba,https://api.chess.com/pub/player/mikeleus1
0,chess,blitz,600,True,1,0-1,2019-07-18,11:10:33,2019-7,danielleespiritu,0aba,946,1143,resigned,win,0.0,1.0,0.24341940570494724,0.7565805942950526,C42,https://www.chess.com/openings/C42-Petrovs-Defense-Classical-Variation,https://www.chess.com/live/game/3873508727,https://api.chess.com/pub/player/danielleespiritu,https://api.chess.com/pub/player/0aba
0,chess,blitz,600,True,1,1/2-1/2,2019-07-18,11:17:59,2019-7,0aba,cheercindy18,1149,1180,agreed,agreed,0.5,0.5,0.4555054269169921,0.544494573083008,C40,https://www.chess.com/openings/C40-Kings-Pawn-Opening-Kings-Knight-Busch-Gass-Gambit,https://www.chess.com/live/game/3873521606,https://api.chess.com/pub/player/0aba,https://api.chess.com/pub/player/cheercindy18
0,chess,blitz,600,True,1,1-0,2019-07-18,11:43:23,2019-7,0aba,Gerad007,1185,1050,win,resigned,1.0,0.0,0.6850596089933503,0.3149403910066497,C40,https://www.chess.com/openings/C40-Kings-Pawn-Opening-Kings-Knight-Elephant-Gambit-3.exd5,https://www.chess.com/live/game/3873570156,https://api.chess.com/pub/player/0aba,https://api.chess.com/pub/player/gerad007
0,chess,blitz,600,True,1,1-0,2019-07-18,12:01:40,2019-7,Gerad007,0aba,1061,1126,win,resigned,1.0,0.0,0.4075337694156682,0.5924662305843318,A00,https://www.chess.com/openings/A00-Hungarian-Opening-1...d5-2.Bg2,https://www.chess.com/live/game/3873604866,https://api.chess.com/pub/player/gerad007,https://api.chess.com/pub/player/0aba
0,chess,blitz,600,True,1,1-0,2019-07-18,12:58:59,2019-7,mitici1974,0aba,1246,1100,win,resigned,1.0,0.0,0.698558626418023,0.30144137358197703,A10,https://www.chess.com/openings/A10-English-Opening-Anglo-Scandinavian-Defense-2.cxd5-Qxd5-3.Nc3,https://www.chess.com/live/game/3873722402,https://api.chess.com/pub/player/mitici1974,https://api.chess.com/pub/player/0aba
