,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,rapid,900+10,True,1,0-1,2018-07-25,12:02:27,2018-7,0ArtMak0,nireas1,1079,1061,resigned,win,0.0,1.0,0.525880930891169,0.4741190691088309,C34,https://www.chess.com/openings/C34-Kings-Gambit-Accepted-MacLeod-Defense,https://www.chess.com/live/game/2962527781,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/nireas1
0,chess,rapid,900+10,True,1,0-1,2018-07-25,12:11:42,2018-7,aabhashams,0ArtMak0,1177,1129,resigned,win,0.0,1.0,0.5686413918836677,0.43135860811633236,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Horwitz-Defense,https://www.chess.com/live/game/2962542408,https://api.chess.com/pub/player/aabhashams,https://api.chess.com/pub/player/0artmak0
0,chess,rapid,900+10,True,1,0-1,2018-07-25,12:27:07,2018-7,iceejayj,0ArtMak0,982,1152,resigned,win,0.0,1.0,0.27316992772326887,0.726830072276731,B20,https://www.chess.com/openings/B20-Sicilian-Defense-Bowdler-Attack,https://www.chess.com/live/game/2962566935,https://api.chess.com/pub/player/iceejayj,https://api.chess.com/pub/player/0artmak0
0,chess,rapid,900+10,True,1,0-1,2018-07-27,04:21:33,2018-7,jazzdude,0ArtMak0,1192,1190,checkmated,win,0.0,1.0,0.502878199574811,0.4971218004251891,B21,https://www.chess.com/openings/B21-Sicilian-Defense-Smith-Morra-Gambit-2...cxd4-3.Qxd4-Nc6,https://www.chess.com/live/game/2966304397,https://api.chess.com/pub/player/jazzdude,https://api.chess.com/pub/player/0artmak0
0,chess,rapid,900+10,True,1,1-0,2018-07-27,11:18:33,2018-7,0ArtMak0,malikarjun,1225,1229,win,resigned,1.0,0.0,0.49424379158885506,0.5057562084111449,B21,https://www.chess.com/openings/B21-Sicilian-Defense-McDonnell-Attack-2...Nc6-3.Nf3-e6,https://www.chess.com/live/game/2966822784,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/malikarjun
0,chess,rapid,900+10,True,1,1-0,2018-07-27,11:25:42,2018-7,zubir3,0ArtMak0,1305,1202,win,resigned,1.0,0.0,0.6440338538222926,0.35596614617770733,A00,https://www.chess.com/openings/A00-Polish-Opening-Kucharkowski-Meybohm-Gambit,https://www.chess.com/live/game/2966833736,https://api.chess.com/pub/player/zubir3,https://api.chess.com/pub/player/0artmak0
0,chess,rapid,900+10,True,1,1-0,2018-07-27,11:29:51,2018-7,0ArtMak0,simonlyakhovich,1232,1129,win,resigned,1.0,0.0,0.6440338538222926,0.35596614617770733,C35,https://www.chess.com/openings/C35-Kings-Gambit-Accepted-Cunningham-Defense,https://www.chess.com/live/game/2966839797,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/simonlyakhovich
0,chess,rapid,900+10,True,1,1-0,2018-07-28,05:02:12,2018-7,0ArtMak0,noobie98,1255,1189,win,resigned,1.0,0.0,0.5938553852361779,0.4061446147638222,C30,https://www.chess.com/openings/C30-Kings-Gambit-Declined-Queens-Knight-Defense-3.Nf3,https://www.chess.com/live/game/2968499776,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/noobie98
0,chess,blitz,600,True,1,1-0,2018-07-28,06:20:01,2018-7,mikhailgus,0ArtMak0,1493,1421,win,resigned,1.0,0.0,0.6021580931747169,0.39784190682528303,A60,https://www.chess.com/openings/A60-Benoni-Defense-Modern-Variation,https://www.chess.com/live/game/2968588630,https://api.chess.com/pub/player/mikhailgus,https://api.chess.com/pub/player/0artmak0
0,chess,blitz,600,True,1,0-1,2018-07-28,06:30:56,2018-7,0ArtMak0,8012saint,1366,1397,resigned,win,0.0,1.0,0.4555054269169921,0.544494573083008,C35,https://www.chess.com/openings/C35-Kings-Gambit-Accepted-Cunningham-Defense,https://www.chess.com/live/game/2968601508,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/8012saint
0,chess,blitz,600,True,1,1-0,2018-07-28,06:40:20,2018-7,0ArtMak0,gwyneth,1412,1370,win,resigned,1.0,0.0,0.5601501452319029,0.4398498547680971,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation,https://www.chess.com/live/game/2968612117,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/gwyneth
0,chess,blitz,600,True,1,1-0,2018-07-28,09:56:42,2018-7,0ArtMak0,mujeeb1233,1449,1373,win,resigned,1.0,0.0,0.6076610641268197,0.39233893587318014,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/2968859450,https://api.chess.com/pub/player/0artmak0,https://api.chess.com/pub/player/mujeeb1233
0,chess,blitz,600,True,1,1-0,2018-07-28,10:01:10,2018-7,Loaihamad,0ArtMak0,1426,1409,win,resigned,1.0,0.0,0.5244454611206615,0.47555453887933863,A00,https://www.chess.com/openings/A00-Hungarian-Opening-Sicilian-Invitation,https://www.chess.com/live/game/2968865387,https://api.chess.com/pub/player/loaihamad,https://api.chess.com/pub/player/0artmak0
