,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,180,True,1,1-0,2019-07-01,09:44:06,2019-7,0Mikki,yeefai,964,990,win,checkmated,1.0,0.0,0.4626526828335072,0.5373473171664928,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack,https://www.chess.com/live/game/3827620019,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/yeefai
0,chess,blitz,180,True,1,1-0,2019-07-01,09:55:14,2019-7,akausar,0Mikki,889,954,win,timeout,1.0,0.0,0.4075337694156682,0.5924662305843318,A00,https://www.chess.com/openings/A00-Clemenz-Opening,https://www.chess.com/live/game/3827638198,https://api.chess.com/pub/player/akausar,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-07-01,10:27:43,2019-7,0Mikki,khalidLam,961,898,win,resigned,1.0,0.0,0.5896835031399501,0.41031649686004995,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack-2...Nc6-3.Bc4,https://www.chess.com/live/game/3827690842,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/khalidlam
0,chess,blitz,180,True,1,0-1,2019-07-01,10:29:26,2019-7,0Mikki,elsayedh1,955,1045,checkmated,win,0.0,1.0,0.373300918333268,0.626699081666732,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack,https://www.chess.com/live/game/3827693481,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/elsayedh1
0,chess,blitz,180,True,1,0-1,2019-07-01,11:32:54,2019-7,0Mikki,dominik_skala_com,946,934,checkmated,win,0.0,1.0,0.5172625244323762,0.4827374755676238,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack,https://www.chess.com/live/game/3827804192,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/dominik_skala_com
0,chess,blitz,180,True,1,1-0,2019-07-01,11:40:19,2019-7,FairPlay7,0Mikki,948,938,win,checkmated,1.0,0.0,0.5143871841659987,0.48561281583400134,A45,https://www.chess.com/openings/A45-Trompowsky-Attack,https://www.chess.com/live/game/3827817238,https://api.chess.com/pub/player/fairplay7,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-07-01,16:04:36,2019-7,aswingangadharan,0Mikki,982,931,win,resigned,1.0,0.0,0.5728722513945045,0.4271277486054956,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3,https://www.chess.com/live/game/3828383374,https://api.chess.com/pub/player/aswingangadharan,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,0-1,2019-07-01,16:18:40,2019-7,0Mikki,Samnocheb,926,1053,checkmated,win,0.0,1.0,0.3249597989597013,0.6750402010402987,B01,https://www.chess.com/openings/B01-Scandinavian-Defense,https://www.chess.com/live/game/3828416957,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/samnocheb
0,chess,blitz,180,True,1,0-1,2019-07-01,16:24:22,2019-7,koppsz,0Mikki,869,933,resigned,win,0.0,1.0,0.4089244036850566,0.5910755963149433,B00,https://www.chess.com/openings/B00-Nimzowitsch-Defense,https://www.chess.com/live/game/3828430954,https://api.chess.com/pub/player/koppsz,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,0-1,2019-07-02,10:33:29,2019-7,yeefai,0Mikki,937,941,timeout,win,0.0,1.0,0.49424379158885506,0.5057562084111449,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3,https://www.chess.com/live/game/3830396587,https://api.chess.com/pub/player/yeefai,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,0-1,2019-07-02,11:16:41,2019-7,blackbird09,0Mikki,845,947,checkmated,win,0.0,1.0,0.3572869311673796,0.6427130688326204,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-1...d5-2.e3,https://www.chess.com/live/game/3830469950,https://api.chess.com/pub/player/blackbird09,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-07-02,12:20:08,2019-7,0Mikki,matos1046,956,966,win,abandoned,1.0,0.0,0.48561281583400134,0.5143871841659987,B21,https://www.chess.com/openings/B21-Sicilian-Defense-Smith-Morra-Gambit-2...cxd4-3.Qxd4-Nc6,https://www.chess.com/live/game/3830586705,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/matos1046
