,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,180,True,1,1-0,2019-08-01,09:19:27,2019-8,ade-m,0Mikki,1100,1002,win,checkmated,1.0,0.0,0.6374083767444845,0.36259162325551547,B01,https://www.chess.com/openings/B01-Scandinavian-Defense-Mieses-Kotroc-Variation-3.Nc3,https://www.chess.com/live/game/3911746125,https://api.chess.com/pub/player/ade-m,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-08-01,10:09:06,2019-8,mrzeitgeist,0Mikki,995,994,win,checkmated,1.0,0.0,0.5014391117091528,0.4985608882908471,C44,https://www.chess.com/openings/C44-Kings-Pawn-Opening-Kings-Knight-Variation-2...Nc6,https://www.chess.com/live/game/3911826351,https://api.chess.com/pub/player/mrzeitgeist,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,0-1,2019-08-02,12:31:32,2019-8,0Mikki,milanflicek,985,965,checkmated,win,0.0,1.0,0.5287505638922686,0.4712494361077314,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3914787039,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/milanflicek
0,chess,blitz,180,True,1,1-0,2019-08-02,12:36:23,2019-8,milanflicek,0Mikki,973,977,win,checkmated,1.0,0.0,0.49424379158885506,0.5057562084111449,A01,https://www.chess.com/openings/A01-Nimzowitsch-Larsen-Attack-Classical-Variation-2.Bb2,https://www.chess.com/live/game/3914797072,https://api.chess.com/pub/player/milanflicek,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,0-1,2019-08-02,12:41:03,2019-8,0Mikki,milanflicek,969,981,checkmated,win,0.0,1.0,0.4827374755676238,0.5172625244323762,B00,https://www.chess.com/openings/B00-Kings-Pawn-Opening-Owen-Defense,https://www.chess.com/live/game/3914806372,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/milanflicek
0,chess,blitz,180,True,1,1-0,2019-08-02,12:46:24,2019-8,milanflicek,0Mikki,989,961,win,resigned,1.0,0.0,0.5402082283237456,0.45979177167625435,A01,https://www.chess.com/openings/A01-Nimzowitsch-Larsen-Attack-Classical-Variation-2.Bb2,https://www.chess.com/live/game/3914818059,https://api.chess.com/pub/player/milanflicek,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-08-02,12:48:41,2019-8,0Mikki,Razzis,968,922,win,timeout,1.0,0.0,0.5658152030692333,0.43418479693076684,C21,https://www.chess.com/openings/C21-Center-Game-Accepted-3.Qxd4,https://www.chess.com/live/game/3914822133,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/razzis
0,chess,blitz,180,True,1,1/2-1/2,2019-08-02,18:44:57,2019-8,0Mikki,Dnbdnbdnb100,967,903,timevsinsufficient,timevsinsufficient,0.5,0.5,0.5910755963149433,0.4089244036850566,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack,https://www.chess.com/live/game/3915655306,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/dnbdnbdnb100
0,chess,blitz,180,True,1,0-1,2019-08-02,19:10:33,2019-8,bashmiedrago6,0Mikki,1092,978,abandoned,win,0.0,1.0,0.6584145209169125,0.34158547908308745,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-1...d5-2.e3,https://www.chess.com/live/game/3915716856,https://api.chess.com/pub/player/bashmiedrago6,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-08-02,19:49:13,2019-8,0Mikki,miltos60,988,1061,win,resigned,1.0,0.0,0.39646368147382194,0.6035363185261781,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Kiddie-Countergambit,https://www.chess.com/live/game/3915808399,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/miltos60
0,chess,blitz,180,True,1,0-1,2019-08-03,08:45:14,2019-8,michelthediver,0Mikki,988,996,resigned,win,0.0,1.0,0.4884891087822083,0.5115108912177917,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-1...d5-2.e3,https://www.chess.com/live/game/3917082799,https://api.chess.com/pub/player/michelthediver,https://api.chess.com/pub/player/0mikki
0,chess,blitz,180,True,1,1-0,2019-08-03,12:13:40,2019-8,0Mikki,amitdj,1005,1035,win,timeout,1.0,0.0,0.4569335079777882,0.5430664920222119,C20,https://www.chess.com/openings/C20-Kings-Pawn-Opening-Wayward-Queen-Attack-2...Nc6-3.Bc4,https://www.chess.com/live/game/3917449252,https://api.chess.com/pub/player/0mikki,https://api.chess.com/pub/player/amitdj
