,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,600,True,1,1-0,2019-06-08,10:28:39,2019-6,supersax12,0neGhost,948,952,win,timeout,1.0,0.0,0.49424379158885506,0.5057562084111449,C11,https://www.chess.com/openings/C11-French-Defense-Classical-Variation-4.Bg5,https://www.chess.com/live/game/3765614890,https://api.chess.com/pub/player/supersax12,https://api.chess.com/pub/player/0neghost
0,chess,blitz,600,True,1,0-1,2019-06-09,04:57:38,2019-6,0neGhost,ricca3006,943,925,resigned,win,0.0,1.0,0.525880930891169,0.4741190691088309,C00,https://www.chess.com/openings/C00-French-Defense-Knight-Variation,https://www.chess.com/live/game/3767765032,https://api.chess.com/pub/player/0neghost,https://api.chess.com/pub/player/ricca3006
0,chess,blitz,600,True,1,0-1,2019-06-09,17:20:11,2019-6,macale,0neGhost,890,950,checkmated,win,0.0,1.0,0.4145013213281905,0.5854986786718095,D00,https://www.chess.com/openings/D00-Queens-Pawn-Opening-1...d5-2.e3,https://www.chess.com/live/game/3769141574,https://api.chess.com/pub/player/macale,https://api.chess.com/pub/player/0neghost
0,chess,blitz,600,True,1,0-1,2019-06-09,19:07:27,2019-6,0neGhost,jmescher,943,1002,resigned,win,0.0,1.0,0.41589904118632204,0.584100958813678,C65,https://www.chess.com/openings/C65-Ruy-Lopez-Opening-Berlin-Defense-4.d3-Bc5,https://www.chess.com/live/game/3769401487,https://api.chess.com/pub/player/0neghost,https://api.chess.com/pub/player/jmescher
0,chess,blitz,600,True,1,0-1,2019-06-09,20:25:09,2019-6,0neGhost,yun29,936,1003,checkmated,win,0.0,1.0,0.4047569603484281,0.5952430396515719,C65,https://www.chess.com/openings/C65-Ruy-Lopez-Opening-Berlin-Defense-4.d3-d6,https://www.chess.com/live/game/3769586070,https://api.chess.com/pub/player/0neghost,https://api.chess.com/pub/player/yun29
0,chess,blitz,600,True,1,0-1,2019-06-10,16:44:54,2019-6,weronn,0neGhost,963,945,checkmated,win,0.0,1.0,0.525880930891169,0.4741190691088309,C62,https://www.chess.com/openings/C62-Ruy-Lopez-Opening-Old-Steinitz-Defense-4.Bxc6,https://www.chess.com/live/game/3771784810,https://api.chess.com/pub/player/weronn,https://api.chess.com/pub/player/0neghost
0,chess,blitz,600,True,1,0-1,2019-06-11,09:20:26,2019-6,Sezamek,0neGhost,1004,955,checkmated,win,0.0,1.0,0.5700528235839882,0.42994717641601177,C24,https://www.chess.com/openings/C24-Bishops-Opening-Berlin-Ponziani-Gambit,https://www.chess.com/live/game/3773642753,https://api.chess.com/pub/player/sezamek,https://api.chess.com/pub/player/0neghost
0,chess,blitz,600,True,1,0-1,2019-06-11,09:48:06,2019-6,0neGhost,jinsurajm,948,1012,resigned,win,0.0,1.0,0.4089244036850566,0.5910755963149433,C00,https://www.chess.com/openings/C00-French-Defense-Knight-Variation,https://www.chess.com/live/game/3773687647,https://api.chess.com/pub/player/0neghost,https://api.chess.com/pub/player/jinsurajm
0,chess,blitz,600,True,1,0-1,2019-06-11,17:59:42,2019-6,0neGhost,JR6Cadu,939,919,checkmated,win,0.0,1.0,0.5287505638922686,0.4712494361077314,C00,https://www.chess.com/openings/C00-French-Defense-Knight-Variation-2...d5,https://www.chess.com/live/game/3774771549,https://api.chess.com/pub/player/0neghost,https://api.chess.com/pub/player/jr6cadu
0,chess,blitz,600,True,1,1-0,2019-06-12,07:04:47,2019-6,cdaniel7,0neGhost,967,931,win,resigned,1.0,0.0,0.5516235473109605,0.4483764526890395,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Mikenas-Defense,https://www.chess.com/live/game/3776222053,https://api.chess.com/pub/player/cdaniel7,https://api.chess.com/pub/player/0neghost
0,chess,blitz,600,True,1,1-0,2019-06-12,12:08:26,2019-6,0neGhost,she3ir,940,971,win,resigned,1.0,0.0,0.4555054269169921,0.544494573083008,C41,https://www.chess.com/openings/C41-Philidor-Defense,https://www.chess.com/live/game/3776722546,https://api.chess.com/pub/player/0neghost,https://api.chess.com/pub/player/she3ir
