,rules,time_class,time_control,rated,game,result,date,time,period,white.username,black.username,white.rating,black.rating,white.result,black.result,white.score,black.score,white_elo_forecast,black_elo_forecast,eco,eco_url,game_url,white_url,black_url
0,chess,blitz,300,True,1,0-1,2014-06-01,13:43:32,2014-6,madankumar2013,Rosolimo,1511,1474,checkmated,win,0.0,1.0,0.5530468951694625,0.4469531048305375,B10,https://www.chess.com/openings/B10-Caro-Kann-Defense-2.Nf3-d5,https://www.chess.com/live/game/822670348,https://api.chess.com/pub/player/madankumar2013,https://api.chess.com/pub/player/rosolimo
0,chess,blitz,300,True,1,1-0,2014-06-01,13:53:59,2014-6,Rosolimo,madankumar2013,1483,1502,win,resigned,1.0,0.0,0.4726840269935071,0.527315973006493,D53,https://www.chess.com/openings/D53-Queens-Gambit-Declined-Modern-Variation-4...Be7-5.Nf3,https://www.chess.com/live/game/822678050,https://api.chess.com/pub/player/rosolimo,https://api.chess.com/pub/player/madankumar2013
0,chess,blitz,300,True,1,1-0,2014-06-01,14:01:20,2014-6,guy83,Rosolimo,1481,1475,win,resigned,1.0,0.0,0.5086338358210827,0.4913661641789174,D80,https://www.chess.com/openings/D80-Gruenfeld-Defense-Stockholm-Variation,https://www.chess.com/live/game/822683085,https://api.chess.com/pub/player/guy83,https://api.chess.com/pub/player/rosolimo
0,chess,blitz,300,True,1,1-0,2014-06-01,14:09:32,2014-6,Rosolimo,guy83,1483,1473,win,resigned,1.0,0.0,0.5143871841659987,0.48561281583400134,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Polish-Defense,https://www.chess.com/live/game/822688599,https://api.chess.com/pub/player/rosolimo,https://api.chess.com/pub/player/guy83
0,chess,blitz,300,True,1,0-1,2014-06-01,14:19:01,2014-6,guy83,Rosolimo,1465,1491,resigned,win,0.0,1.0,0.4626526828335072,0.5373473171664928,D80,https://www.chess.com/openings/D80-Gruenfeld-Defense-Stockholm-Variation-4...Ne4-5.Nxe4-dxe4,https://www.chess.com/live/game/822695372,https://api.chess.com/pub/player/guy83,https://api.chess.com/pub/player/rosolimo
0,chess,blitz,300,True,1,1-0,2014-06-01,14:25:36,2014-6,Rosolimo,guy83,1498,1458,win,resigned,1.0,0.0,0.5573116337622928,0.44268836623770724,A40,https://www.chess.com/openings/A40-Queens-Pawn-Opening-Keres-Defense-3.Bd2-Bxd2,https://www.chess.com/live/game/822700162,https://api.chess.com/pub/player/rosolimo,https://api.chess.com/pub/player/guy83
0,chess,blitz,300,True,1,1-0,2014-06-01,14:31:58,2014-6,Rosolimo,daylaman2014,1506,1495,win,resigned,1.0,0.0,0.515824985264735,0.4841750147352649,D06,https://www.chess.com/openings/D06-Queens-Gambit-Declined-with-2-g6,https://www.chess.com/live/game/822704602,https://api.chess.com/pub/player/rosolimo,https://api.chess.com/pub/player/daylaman2014
0,chess,blitz,300,True,1,0-1,2014-06-01,14:41:31,2014-6,Rosolimo,Tyler_Durden_FC,1498,1521,resigned,win,0.0,1.0,0.46694860611555894,0.5330513938844411,A40,https://www.chess.com/openings/A40-Modern-Defense-with-1-d4-2.c4-Bg7-3.Nc3,https://www.chess.com/live/game/822711691,https://api.chess.com/pub/player/rosolimo,https://api.chess.com/pub/player/tyler_durden_fc
0,chess,blitz,300,True,1,0-1,2014-06-01,14:48:23,2014-6,Rosolimo,trixster66,1492,1610,resigned,win,0.0,1.0,0.33642590195870453,0.6635740980412955,A84,https://www.chess.com/openings/A84-Dutch-Defense-2.c4,https://www.chess.com/live/game/822716444,https://api.chess.com/pub/player/rosolimo,https://api.chess.com/pub/player/trixster66
0,chess,blitz,300,True,1,0-1,2014-06-01,14:52:44,2014-6,aishah05,Rosolimo,1438,1499,resigned,win,0.0,1.0,0.41310497662089996,0.5868950233791,A45,https://www.chess.com/openings/A45-Indian-Game,https://www.chess.com/live/game/822719229,https://api.chess.com/pub/player/aishah05,https://api.chess.com/pub/player/rosolimo
